D:\Programs\Anaconda3\python.exe D:/Workspace/PycharmProjects/vae-master-thesis/VAEsInKeras/mnist.py
Using TensorFlow backend.

Train on 55000 samples, validate on 5000 samples

Epoch 1/50
  256/55000 [..............................] - ETA: 4:02 - loss: 0.6931OMP: Info #250: KMP_AFFINITY: pid 14412 tid 10644 thread 16 bound to OS proc set 0
  512/55000 [..............................] - ETA: 2:14 - loss: 0.6930OMP: Info #250: KMP_AFFINITY: pid 14412 tid 8160 thread 28 bound to OS proc set 1
 1280/55000 [..............................] - ETA: 58s - loss: 0.6925
 1792/55000 [..............................] - ETA: 43s - loss: 0.6922
 3072/55000 [>.............................] - ETA: 26s - loss: 0.6915
 3328/55000 [>.............................] - ETA: 25s - loss: 0.6913
 3840/55000 [=>............................] - ETA: 22s - loss: 0.6910
 4864/55000 [=>............................] - ETA: 18s - loss: 0.6904
 5376/55000 [=>............................] - ETA: 17s - loss: 0.6901
 6144/55000 [==>...........................] - ETA: 15s - loss: 0.6896
 6656/55000 [==>...........................] - ETA: 14s - loss: 0.6893
 7424/55000 [===>..........................] - ETA: 13s - loss: 0.6888
 7680/55000 [===>..........................] - ETA: 13s - loss: 0.6886
 8448/55000 [===>..........................] - ETA: 12s - loss: 0.6882
 9216/55000 [====>.........................] - ETA: 11s - loss: 0.6877
 9984/55000 [====>.........................] - ETA: 10s - loss: 0.6872
10240/55000 [====>.........................] - ETA: 10s - loss: 0.6870
11264/55000 [=====>........................] - ETA: 9s - loss: 0.6864
11776/55000 [=====>........................] - ETA: 9s - loss: 0.6861
12800/55000 [=====>........................] - ETA: 8s - loss: 0.6854
13568/55000 [======>.......................] - ETA: 8s - loss: 0.6849
14336/55000 [======>.......................] - ETA: 7s - loss: 0.6844
14592/55000 [======>.......................] - ETA: 7s - loss: 0.6843
15616/55000 [=======>......................] - ETA: 7s - loss: 0.6836
16640/55000 [========>.....................] - ETA: 6s - loss: 0.6830
17152/55000 [========>.....................] - ETA: 6s - loss: 0.6826
17664/55000 [========>.....................] - ETA: 6s - loss: 0.6823
18432/55000 [=========>....................] - ETA: 6s - loss: 0.6818
19456/55000 [=========>....................] - ETA: 6s - loss: 0.6811
19712/55000 [=========>....................] - ETA: 6s - loss: 0.6809
20224/55000 [==========>...................] - ETA: 5s - loss: 0.6806
20992/55000 [==========>...................] - ETA: 5s - loss: 0.6800
21248/55000 [==========>...................] - ETA: 5s - loss: 0.6799
21760/55000 [==========>...................] - ETA: 5s - loss: 0.6795
22528/55000 [===========>..................] - ETA: 5s - loss: 0.6790
23552/55000 [===========>..................] - ETA: 5s - loss: 0.6783
23808/55000 [===========>..................] - ETA: 5s - loss: 0.6781
24064/55000 [============>.................] - ETA: 5s - loss: 0.6779
24576/55000 [============>.................] - ETA: 5s - loss: 0.6775
25856/55000 [=============>................] - ETA: 4s - loss: 0.6766
26624/55000 [=============>................] - ETA: 4s - loss: 0.6760
27136/55000 [=============>................] - ETA: 4s - loss: 0.6756
28416/55000 [==============>...............] - ETA: 4s - loss: 0.6746
29696/55000 [===============>..............] - ETA: 3s - loss: 0.6736
30208/55000 [===============>..............] - ETA: 3s - loss: 0.6732
31744/55000 [================>.............] - ETA: 3s - loss: 0.6719
33280/55000 [=================>............] - ETA: 2s - loss: 0.6706
34304/55000 [=================>............] - ETA: 2s - loss: 0.6697
35840/55000 [==================>...........] - ETA: 2s - loss: 0.6682
37376/55000 [===================>..........] - ETA: 2s - loss: 0.6667
38144/55000 [===================>..........] - ETA: 2s - loss: 0.6659
39424/55000 [====================>.........] - ETA: 1s - loss: 0.6645
40960/55000 [=====================>........] - ETA: 1s - loss: 0.6627
41472/55000 [=====================>........] - ETA: 1s - loss: 0.6621
43008/55000 [======================>.......] - ETA: 1s - loss: 0.6601
44288/55000 [=======================>......] - ETA: 1s - loss: 0.6584
45568/55000 [=======================>......] - ETA: 1s - loss: 0.6565
47104/55000 [========================>.....] - ETA: 0s - loss: 0.6541
48640/55000 [=========================>....] - ETA: 0s - loss: 0.6515
49152/55000 [=========================>....] - ETA: 0s - loss: 0.6506
49920/55000 [==========================>...] - ETA: 0s - loss: 0.6492
50944/55000 [==========================>...] - ETA: 0s - loss: 0.6473
52224/55000 [===========================>..] - ETA: 0s - loss: 0.6446
53760/55000 [============================>.] - ETA: 0s - loss: 0.6412
55000/55000 [==============================] - 6s 106us/step - loss: 0.6383 - val_loss: 0.5014
Epoch 2/50

  256/55000 [..............................] - ETA: 4s - loss: 0.5014
 1536/55000 [..............................] - ETA: 2s - loss: 0.4936
 3072/55000 [>.............................] - ETA: 2s - loss: 0.4839
 4096/55000 [=>............................] - ETA: 2s - loss: 0.4771
 5376/55000 [=>............................] - ETA: 2s - loss: 0.4685
 6656/55000 [==>...........................] - ETA: 2s - loss: 0.4596
 7680/55000 [===>..........................] - ETA: 2s - loss: 0.4523
 9216/55000 [====>.........................] - ETA: 2s - loss: 0.4412
10752/55000 [====>.........................] - ETA: 2s - loss: 0.4299
12032/55000 [=====>........................] - ETA: 1s - loss: 0.4204
13568/55000 [======>.......................] - ETA: 1s - loss: 0.4089
15104/55000 [=======>......................] - ETA: 1s - loss: 0.3974
16640/55000 [========>.....................] - ETA: 1s - loss: 0.3861
18176/55000 [========>.....................] - ETA: 1s - loss: 0.3749
19200/55000 [=========>....................] - ETA: 1s - loss: 0.3675
20736/55000 [==========>...................] - ETA: 1s - loss: 0.3567
21760/55000 [==========>...................] - ETA: 1s - loss: 0.3497
23296/55000 [===========>..................] - ETA: 1s - loss: 0.3393
24832/55000 [============>.................] - ETA: 1s - loss: 0.3294
26112/55000 [=============>................] - ETA: 1s - loss: 0.3213
27648/55000 [==============>...............] - ETA: 1s - loss: 0.3120
28416/55000 [==============>...............] - ETA: 1s - loss: 0.3075
29696/55000 [===============>..............] - ETA: 1s - loss: 0.3002
30976/55000 [===============>..............] - ETA: 1s - loss: 0.2931
32000/55000 [================>.............] - ETA: 1s - loss: 0.2876
33536/55000 [=================>............] - ETA: 0s - loss: 0.2797
34816/55000 [=================>............] - ETA: 0s - loss: 0.2734
36352/55000 [==================>...........] - ETA: 0s - loss: 0.2661
37632/55000 [===================>..........] - ETA: 0s - loss: 0.2602
38400/55000 [===================>..........] - ETA: 0s - loss: 0.2569
39936/55000 [====================>.........] - ETA: 0s - loss: 0.2503
40704/55000 [=====================>........] - ETA: 0s - loss: 0.2471
41984/55000 [=====================>........] - ETA: 0s - loss: 0.2420
