Using TensorFlow backend.
2018-01-30 18:48:11.773928: I C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\36\tensorflow\core\platform\cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX
Reading TRAIN data...
Reading TEST data...
Train on 50000 samples, validate on 10000 samples
Epoch 1/50

  256/50000 [..............................] - ETA: 46s - loss: 0.6931
 1280/50000 [..............................] - ETA: 11s - loss: 0.6923
 2304/50000 [>.............................] - ETA: 7s - loss: 0.6913
 3328/50000 [>.............................] - ETA: 6s - loss: 0.6902
 3840/50000 [=>............................] - ETA: 5s - loss: 0.6896
 4352/50000 [=>............................] - ETA: 5s - loss: 0.6889
 4864/50000 [=>............................] - ETA: 5s - loss: 0.6882
 5376/50000 [==>...........................] - ETA: 5s - loss: 0.6874
 5888/50000 [==>...........................] - ETA: 5s - loss: 0.6864
 6400/50000 [==>...........................] - ETA: 5s - loss: 0.6853
 6912/50000 [===>..........................] - ETA: 5s - loss: 0.6841
 7424/50000 [===>..........................] - ETA: 5s - loss: 0.6827
 7936/50000 [===>..........................] - ETA: 5s - loss: 0.6812
 8448/50000 [====>.........................] - ETA: 5s - loss: 0.6794
 8960/50000 [====>.........................] - ETA: 5s - loss: 0.6774
 9472/50000 [====>.........................] - ETA: 5s - loss: 0.6751
 9984/50000 [====>.........................] - ETA: 4s - loss: 0.6725
10496/50000 [=====>........................] - ETA: 4s - loss: 0.6695
11008/50000 [=====>........................] - ETA: 4s - loss: 0.6662
11520/50000 [=====>........................] - ETA: 4s - loss: 0.6625
12032/50000 [======>.......................] - ETA: 4s - loss: 0.6584
12544/50000 [======>.......................] - ETA: 4s - loss: 0.6540
13056/50000 [======>.......................] - ETA: 4s - loss: 0.6491
13568/50000 [=======>......................] - ETA: 4s - loss: 0.6439
14080/50000 [=======>......................] - ETA: 4s - loss: 0.6383
14592/50000 [=======>......................] - ETA: 4s - loss: 0.6326
15360/50000 [========>.....................] - ETA: 4s - loss: 0.6234
15872/50000 [========>.....................] - ETA: 4s - loss: 0.6171
16384/50000 [========>.....................] - ETA: 4s - loss: 0.6108
16896/50000 [=========>....................] - ETA: 3s - loss: 0.6043
17408/50000 [=========>....................] - ETA: 3s - loss: 0.5978
17920/50000 [=========>....................] - ETA: 3s - loss: 0.5913
18432/50000 [==========>...................] - ETA: 3s - loss: 0.5851
18944/50000 [==========>...................] - ETA: 3s - loss: 0.5789
19456/50000 [==========>...................] - ETA: 3s - loss: 0.5728
19968/50000 [==========>...................] - ETA: 3s - loss: 0.5668
20480/50000 [===========>..................] - ETA: 3s - loss: 0.5610
20992/50000 [===========>..................] - ETA: 3s - loss: 0.5553
21504/50000 [===========>..................] - ETA: 3s - loss: 0.5498
22016/50000 [============>.................] - ETA: 3s - loss: 0.5444
22528/50000 [============>.................] - ETA: 3s - loss: 0.5391
23296/50000 [============>.................] - ETA: 3s - loss: 0.5316
23808/50000 [=============>................] - ETA: 3s - loss: 0.5268
24320/50000 [=============>................] - ETA: 3s - loss: 0.5220
25088/50000 [==============>...............] - ETA: 2s - loss: 0.5154
25600/50000 [==============>...............] - ETA: 2s - loss: 0.5111
26112/50000 [==============>...............] - ETA: 2s - loss: 0.5071
26624/50000 [==============>...............] - ETA: 2s - loss: 0.5030
27136/50000 [===============>..............] - ETA: 2s - loss: 0.4992
27648/50000 [===============>..............] - ETA: 2s - loss: 0.4955
28160/50000 [===============>..............] - ETA: 2s - loss: 0.4918
28672/50000 [================>.............] - ETA: 2s - loss: 0.4883
29184/50000 [================>.............] - ETA: 2s - loss: 0.4849
29696/50000 [================>.............] - ETA: 2s - loss: 0.4816
30208/50000 [=================>............] - ETA: 2s - loss: 0.4785
30720/50000 [=================>............] - ETA: 2s - loss: 0.4755
31232/50000 [=================>............] - ETA: 2s - loss: 0.4724
31744/50000 [==================>...........] - ETA: 2s - loss: 0.4695
32256/50000 [==================>...........] - ETA: 2s - loss: 0.4666
32768/50000 [==================>...........] - ETA: 2s - loss: 0.4638
33280/50000 [==================>...........] - ETA: 1s - loss: 0.4611
33792/50000 [===================>..........] - ETA: 1s - loss: 0.4584
34304/50000 [===================>..........] - ETA: 1s - loss: 0.4559
34816/50000 [===================>..........] - ETA: 1s - loss: 0.4534
35328/50000 [====================>.........] - ETA: 1s - loss: 0.4509
35840/50000 [====================>.........] - ETA: 1s - loss: 0.4486
36352/50000 [====================>.........] - ETA: 1s - loss: 0.4463
36864/50000 [=====================>........] - ETA: 1s - loss: 0.4440
37632/50000 [=====================>........] - ETA: 1s - loss: 0.4408
38400/50000 [======================>.......] - ETA: 1s - loss: 0.4376
38912/50000 [======================>.......] - ETA: 1s - loss: 0.4355
39424/50000 [======================>.......] - ETA: 1s - loss: 0.4335
39936/50000 [======================>.......] - ETA: 1s - loss: 0.4316
40448/50000 [=======================>......] - ETA: 1s - loss: 0.4297
40960/50000 [=======================>......] - ETA: 1s - loss: 0.4278
41472/50000 [=======================>......] - ETA: 1s - loss: 0.4260
41984/50000 [========================>.....] - ETA: 0s - loss: 0.4242
42496/50000 [========================>.....] - ETA: 0s - loss: 0.4225
43008/50000 [========================>.....] - ETA: 0s - loss: 0.4208
43776/50000 [=========================>....] - ETA: 0s - loss: 0.4183
44288/50000 [=========================>....] - ETA: 0s - loss: 0.4167
44800/50000 [=========================>....] - ETA: 0s - loss: 0.4152
45312/50000 [==========================>...] - ETA: 0s - loss: 0.4136
45824/50000 [==========================>...] - ETA: 0s - loss: 0.4121
46336/50000 [==========================>...] - ETA: 0s - loss: 0.4106
46848/50000 [===========================>..] - ETA: 0s - loss: 0.4092
47360/50000 [===========================>..] - ETA: 0s - loss: 0.4078
48128/50000 [===========================>..] - ETA: 0s - loss: 0.4058
48640/50000 [============================>.] - ETA: 0s - loss: 0.4044
49152/50000 [============================>.] - ETA: 0s - loss: 0.4031
49664/50000 [============================>.] - ETA: 0s - loss: 0.4018
50000/50000 [==============================] - 7s 131us/step - loss: 0.4009 - val_loss: 0.2762
Epoch 2/50

  256/50000 [..............................] - ETA: 6s - loss: 0.2778
 1024/50000 [..............................] - ETA: 5s - loss: 0.2778
 1536/50000 [..............................] - ETA: 5s - loss: 0.2767
 2304/50000 [>.............................] - ETA: 4s - loss: 0.2769
 2816/50000 [>.............................] - ETA: 4s - loss: 0.2763
 3328/50000 [>.............................] - ETA: 4s - loss: 0.2763
 3840/50000 [=>............................] - ETA: 4s - loss: 0.2763
