Using TensorFlow backend.
2018-02-04 01:39:11.458747: I C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\36\tensorflow\core\platform\cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX
Train on 50000 samples, validate on 10000 samples
Epoch 1/50

   64/50000 [..............................] - ETA: 2:48 - loss: 0.6953
  320/50000 [..............................] - ETA: 41s - loss: 0.6946
  640/50000 [..............................] - ETA: 25s - loss: 0.6942
  960/50000 [..............................] - ETA: 19s - loss: 0.6939
 1280/50000 [..............................] - ETA: 17s - loss: 0.6938
 1664/50000 [..............................] - ETA: 14s - loss: 0.6936
 2048/50000 [>.............................] - ETA: 13s - loss: 0.6936
 2432/50000 [>.............................] - ETA: 12s - loss: 0.6935
 2816/50000 [>.............................] - ETA: 11s - loss: 0.6934
 3136/50000 [>.............................] - ETA: 11s - loss: 0.6934
 3520/50000 [=>............................] - ETA: 10s - loss: 0.6933
 3904/50000 [=>............................] - ETA: 10s - loss: 0.6933
 4224/50000 [=>............................] - ETA: 9s - loss: 0.6933
 4544/50000 [=>............................] - ETA: 9s - loss: 0.6933
 4928/50000 [=>............................] - ETA: 9s - loss: 0.6932
 5312/50000 [==>...........................] - ETA: 9s - loss: 0.6932
 5696/50000 [==>...........................] - ETA: 8s - loss: 0.6932
 5952/50000 [==>...........................] - ETA: 8s - loss: 0.6932
 6208/50000 [==>...........................] - ETA: 8s - loss: 0.6932
 6464/50000 [==>...........................] - ETA: 8s - loss: 0.6931
 6720/50000 [===>..........................] - ETA: 8s - loss: 0.6931
 7040/50000 [===>..........................] - ETA: 8s - loss: 0.6931
 7296/50000 [===>..........................] - ETA: 8s - loss: 0.6931
 7616/50000 [===>..........................] - ETA: 8s - loss: 0.6931
 7936/50000 [===>..........................] - ETA: 8s - loss: 0.6931
 8256/50000 [===>..........................] - ETA: 8s - loss: 0.6931
 8576/50000 [====>.........................] - ETA: 8s - loss: 0.6930
 8832/50000 [====>.........................] - ETA: 8s - loss: 0.6930
 9088/50000 [====>.........................] - ETA: 8s - loss: 0.6930
 9408/50000 [====>.........................] - ETA: 8s - loss: 0.6930
 9664/50000 [====>.........................] - ETA: 8s - loss: 0.6930
 9920/50000 [====>.........................] - ETA: 8s - loss: 0.6930
10176/50000 [=====>........................] - ETA: 8s - loss: 0.6930
10496/50000 [=====>........................] - ETA: 7s - loss: 0.6929
10816/50000 [=====>........................] - ETA: 7s - loss: 0.6929
11072/50000 [=====>........................] - ETA: 7s - loss: 0.6929
11328/50000 [=====>........................] - ETA: 7s - loss: 0.6929
11584/50000 [=====>........................] - ETA: 7s - loss: 0.6929
11840/50000 [======>.......................] - ETA: 7s - loss: 0.6929
12096/50000 [======>.......................] - ETA: 7s - loss: 0.6929
12352/50000 [======>.......................] - ETA: 7s - loss: 0.6928
12672/50000 [======>.......................] - ETA: 7s - loss: 0.6928
12992/50000 [======>.......................] - ETA: 7s - loss: 0.6928
13376/50000 [=======>......................] - ETA: 7s - loss: 0.6928
13696/50000 [=======>......................] - ETA: 7s - loss: 0.6927
14016/50000 [=======>......................] - ETA: 7s - loss: 0.6927
14336/50000 [=======>......................] - ETA: 7s - loss: 0.6927
14720/50000 [=======>......................] - ETA: 6s - loss: 0.6927
15104/50000 [========>.....................] - ETA: 6s - loss: 0.6926
15488/50000 [========>.....................] - ETA: 6s - loss: 0.6926
15872/50000 [========>.....................] - ETA: 6s - loss: 0.6926
16256/50000 [========>.....................] - ETA: 6s - loss: 0.6925
16640/50000 [========>.....................] - ETA: 6s - loss: 0.6925
17024/50000 [=========>....................] - ETA: 6s - loss: 0.6925
17408/50000 [=========>....................] - ETA: 6s - loss: 0.6924
17792/50000 [=========>....................] - ETA: 6s - loss: 0.6924
18176/50000 [=========>....................] - ETA: 6s - loss: 0.6923
18496/50000 [==========>...................] - ETA: 5s - loss: 0.6923
18752/50000 [==========>...................] - ETA: 5s - loss: 0.6923
19072/50000 [==========>...................] - ETA: 5s - loss: 0.6922
19520/50000 [==========>...................] - ETA: 5s - loss: 0.6922
19968/50000 [==========>...................] - ETA: 5s - loss: 0.6921
20224/50000 [===========>..................] - ETA: 5s - loss: 0.6921
20480/50000 [===========>..................] - ETA: 5s - loss: 0.6920
20672/50000 [===========>..................] - ETA: 5s - loss: 0.6920
20928/50000 [===========>..................] - ETA: 5s - loss: 0.6919
21120/50000 [===========>..................] - ETA: 5s - loss: 0.6919
21440/50000 [===========>..................] - ETA: 5s - loss: 0.6919
21696/50000 [============>.................] - ETA: 5s - loss: 0.6918
21952/50000 [============>.................] - ETA: 5s - loss: 0.6917
22208/50000 [============>.................] - ETA: 5s - loss: 0.6917
22464/50000 [============>.................] - ETA: 5s - loss: 0.6916
22784/50000 [============>.................] - ETA: 5s - loss: 0.6916
23104/50000 [============>.................] - ETA: 5s - loss: 0.6915
23424/50000 [=============>................] - ETA: 5s - loss: 0.6914
23744/50000 [=============>................] - ETA: 4s - loss: 0.6914
24064/50000 [=============>................] - ETA: 4s - loss: 0.6913
24320/50000 [=============>................] - ETA: 4s - loss: 0.6913
24640/50000 [=============>................] - ETA: 4s - loss: 0.6912
24960/50000 [=============>................] - ETA: 4s - loss: 0.6911
25216/50000 [==============>...............] - ETA: 4s - loss: 0.6911
25536/50000 [==============>...............] - ETA: 4s - loss: 0.6910
25792/50000 [==============>...............] - ETA: 4s - loss: 0.6909
26048/50000 [==============>...............] - ETA: 4s - loss: 0.6909
26368/50000 [==============>...............] - ETA: 4s - loss: 0.6908
26688/50000 [===============>..............] - ETA: 4s - loss: 0.6907
27008/50000 [===============>..............] - ETA: 4s - loss: 0.6906
27328/50000 [===============>..............] - ETA: 4s - loss: 0.6906
27648/50000 [===============>..............] - ETA: 4s - loss: 0.6905
27968/50000 [===============>..............] - ETA: 4s - loss: 0.6904
28288/50000 [===============>..............] - ETA: 4s - loss: 0.6903
28608/50000 [================>.............] - ETA: 4s - loss: 0.6903
28992/50000 [================>.............] - ETA: 3s - loss: 0.6901
29376/50000 [================>.............] - ETA: 3s - loss: 0.6900
29760/50000 [================>.............] - ETA: 3s - loss: 0.6899
30144/50000 [=================>............] - ETA: 3s - loss: 0.6898
30528/50000 [=================>............] - ETA: 3s - loss: 0.6897
30912/50000 [=================>............] - ETA: 3s - loss: 0.6896
31296/50000 [=================>............] - ETA: 3s - loss: 0.6895
31680/50000 [==================>...........] - ETA: 3s - loss: 0.6894
