Using TensorFlow backend.
2018-02-01 18:25:19.097888: I C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\36\tensorflow\core\platform\cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX
Train on 50000 samples, validate on 10000 samples
Epoch 1/50

   64/50000 [..............................] - ETA: 4:03 - loss: 0.6937
  320/50000 [..............................] - ETA: 56s - loss: 0.6936
  576/50000 [..............................] - ETA: 35s - loss: 0.6934
  832/50000 [..............................] - ETA: 27s - loss: 0.6934
 1088/50000 [..............................] - ETA: 23s - loss: 0.6933
 1408/50000 [..............................] - ETA: 20s - loss: 0.6933
 1664/50000 [..............................] - ETA: 18s - loss: 0.6933
 1920/50000 [>.............................] - ETA: 17s - loss: 0.6933
 2176/50000 [>.............................] - ETA: 16s - loss: 0.6932
 2432/50000 [>.............................] - ETA: 15s - loss: 0.6932
 2688/50000 [>.............................] - ETA: 14s - loss: 0.6932
 2944/50000 [>.............................] - ETA: 14s - loss: 0.6932
 3200/50000 [>.............................] - ETA: 13s - loss: 0.6932
 3456/50000 [=>............................] - ETA: 13s - loss: 0.6932
 3712/50000 [=>............................] - ETA: 12s - loss: 0.6932
 4032/50000 [=>............................] - ETA: 12s - loss: 0.6932
 4288/50000 [=>............................] - ETA: 12s - loss: 0.6932
 4544/50000 [=>............................] - ETA: 12s - loss: 0.6931
 4800/50000 [=>............................] - ETA: 11s - loss: 0.6931
 5056/50000 [==>...........................] - ETA: 11s - loss: 0.6931
 5376/50000 [==>...........................] - ETA: 11s - loss: 0.6931
 5632/50000 [==>...........................] - ETA: 11s - loss: 0.6931
 5952/50000 [==>...........................] - ETA: 11s - loss: 0.6931
 6208/50000 [==>...........................] - ETA: 10s - loss: 0.6931
 6464/50000 [==>...........................] - ETA: 10s - loss: 0.6931
 6720/50000 [===>..........................] - ETA: 10s - loss: 0.6931
 6976/50000 [===>..........................] - ETA: 10s - loss: 0.6931
 7232/50000 [===>..........................] - ETA: 10s - loss: 0.6931
 7488/50000 [===>..........................] - ETA: 10s - loss: 0.6931
 7744/50000 [===>..........................] - ETA: 10s - loss: 0.6931
 8000/50000 [===>..........................] - ETA: 10s - loss: 0.6931
 8256/50000 [===>..........................] - ETA: 9s - loss: 0.6931
 8512/50000 [====>.........................] - ETA: 9s - loss: 0.6931
 8768/50000 [====>.........................] - ETA: 9s - loss: 0.6930
 9024/50000 [====>.........................] - ETA: 9s - loss: 0.6930
 9280/50000 [====>.........................] - ETA: 9s - loss: 0.6930
 9536/50000 [====>.........................] - ETA: 9s - loss: 0.6930
 9792/50000 [====>.........................] - ETA: 9s - loss: 0.6930
10048/50000 [=====>........................] - ETA: 9s - loss: 0.6930
10304/50000 [=====>........................] - ETA: 9s - loss: 0.6930
10560/50000 [=====>........................] - ETA: 9s - loss: 0.6930
10816/50000 [=====>........................] - ETA: 9s - loss: 0.6930
11072/50000 [=====>........................] - ETA: 8s - loss: 0.6930
11328/50000 [=====>........................] - ETA: 8s - loss: 0.6930
11584/50000 [=====>........................] - ETA: 8s - loss: 0.6930
11840/50000 [======>.......................] - ETA: 8s - loss: 0.6930
12096/50000 [======>.......................] - ETA: 8s - loss: 0.6930
12352/50000 [======>.......................] - ETA: 8s - loss: 0.6929
12608/50000 [======>.......................] - ETA: 8s - loss: 0.6929
12864/50000 [======>.......................] - ETA: 8s - loss: 0.6929
13120/50000 [======>.......................] - ETA: 8s - loss: 0.6929
13376/50000 [=======>......................] - ETA: 8s - loss: 0.6929
13632/50000 [=======>......................] - ETA: 8s - loss: 0.6929
13888/50000 [=======>......................] - ETA: 8s - loss: 0.6929
14208/50000 [=======>......................] - ETA: 8s - loss: 0.6929
14464/50000 [=======>......................] - ETA: 7s - loss: 0.6929
14720/50000 [=======>......................] - ETA: 7s - loss: 0.6928
15040/50000 [========>.....................] - ETA: 7s - loss: 0.6928
15360/50000 [========>.....................] - ETA: 7s - loss: 0.6928
15680/50000 [========>.....................] - ETA: 7s - loss: 0.6928
16000/50000 [========>.....................] - ETA: 7s - loss: 0.6928
16320/50000 [========>.....................] - ETA: 7s - loss: 0.6928
16640/50000 [========>.....................] - ETA: 7s - loss: 0.6928
16960/50000 [=========>....................] - ETA: 7s - loss: 0.6927
17280/50000 [=========>....................] - ETA: 7s - loss: 0.6927
17600/50000 [=========>....................] - ETA: 7s - loss: 0.6927
17920/50000 [=========>....................] - ETA: 6s - loss: 0.6927
18240/50000 [=========>....................] - ETA: 6s - loss: 0.6926
18560/50000 [==========>...................] - ETA: 6s - loss: 0.6926
18880/50000 [==========>...................] - ETA: 6s - loss: 0.6926
19200/50000 [==========>...................] - ETA: 6s - loss: 0.6926
19456/50000 [==========>...................] - ETA: 6s - loss: 0.6925
19776/50000 [==========>...................] - ETA: 6s - loss: 0.6925
20096/50000 [===========>..................] - ETA: 6s - loss: 0.6925
20416/50000 [===========>..................] - ETA: 6s - loss: 0.6925
20736/50000 [===========>..................] - ETA: 6s - loss: 0.6924
21056/50000 [===========>..................] - ETA: 6s - loss: 0.6924
21312/50000 [===========>..................] - ETA: 6s - loss: 0.6923
21632/50000 [===========>..................] - ETA: 6s - loss: 0.6923
21952/50000 [============>.................] - ETA: 5s - loss: 0.6923
22272/50000 [============>.................] - ETA: 5s - loss: 0.6922
22592/50000 [============>.................] - ETA: 5s - loss: 0.6922
22912/50000 [============>.................] - ETA: 5s - loss: 0.6921
23232/50000 [============>.................] - ETA: 5s - loss: 0.6921
23552/50000 [=============>................] - ETA: 5s - loss: 0.6920
23872/50000 [=============>................] - ETA: 5s - loss: 0.6920
24192/50000 [=============>................] - ETA: 5s - loss: 0.6919
24512/50000 [=============>................] - ETA: 5s - loss: 0.6919
24832/50000 [=============>................] - ETA: 5s - loss: 0.6918
25152/50000 [==============>...............] - ETA: 5s - loss: 0.6917
25472/50000 [==============>...............] - ETA: 5s - loss: 0.6916
25792/50000 [==============>...............] - ETA: 5s - loss: 0.6916
26112/50000 [==============>...............] - ETA: 4s - loss: 0.6915
26432/50000 [==============>...............] - ETA: 4s - loss: 0.6914
26752/50000 [===============>..............] - ETA: 4s - loss: 0.6914
27072/50000 [===============>..............] - ETA: 4s - loss: 0.6913
27392/50000 [===============>..............] - ETA: 4s - loss: 0.6912
27648/50000 [===============>..............] - ETA: 4s - loss: 0.6912
27968/50000 [===============>..............] - ETA: 4s - loss: 0.6911
