Reading TEST data...
Reading TEST labels...

Epoch 1 | Loss (ELBO): 199.23873901367188
Epoch 2 | Loss (ELBO): 169.2183074951172
Epoch 3 | Loss (ELBO): 153.72109985351562
Epoch 4 | Loss (ELBO): 142.41116333007812
Epoch 5 | Loss (ELBO): 134.58438110351562
Epoch 6 | Loss (ELBO): 127.7510986328125
Epoch 7 | Loss (ELBO): 124.60979461669922
Epoch 8 | Loss (ELBO): 121.13685607910156
Epoch 9 | Loss (ELBO): 118.09033203125
Epoch 10 | Loss (ELBO): 118.03070068359375
Epoch 11 | Loss (ELBO): 115.6155014038086
Epoch 12 | Loss (ELBO): 113.7103042602539
Epoch 13 | Loss (ELBO): 113.90486907958984
Epoch 14 | Loss (ELBO): 111.26342010498047
Epoch 15 | Loss (ELBO): 112.35993957519531
Epoch 16 | Loss (ELBO): 110.07997131347656
Epoch 17 | Loss (ELBO): 110.91542053222656
Epoch 18 | Loss (ELBO): 110.02397155761719
Epoch 19 | Loss (ELBO): 109.8829116821289
Epoch 20 | Loss (ELBO): 108.37157440185547
Epoch 21 | Loss (ELBO): 107.7711181640625
Epoch 22 | Loss (ELBO): 108.58856201171875
Epoch 23 | Loss (ELBO): 108.47589874267578
Epoch 24 | Loss (ELBO): 107.77252960205078
Epoch 25 | Loss (ELBO): 107.37586975097656
Epoch 26 | Loss (ELBO): 107.71397399902344
Epoch 27 | Loss (ELBO): 108.08226013183594
Epoch 28 | Loss (ELBO): 107.05155944824219
Epoch 29 | Loss (ELBO): 106.27049255371094
Epoch 30 | Loss (ELBO): 106.79869079589844
Epoch 31 | Loss (ELBO): 105.39649963378906
Epoch 32 | Loss (ELBO): 105.0732192993164
Epoch 33 | Loss (ELBO): 106.68512725830078
Epoch 34 | Loss (ELBO): 106.51506805419922
Epoch 35 | Loss (ELBO): 105.20576477050781
Epoch 36 | Loss (ELBO): 106.27296447753906
Epoch 37 | Loss (ELBO): 104.82766723632812
Epoch 38 | Loss (ELBO): 103.35173034667969
Epoch 39 | Loss (ELBO): 104.93521118164062
Epoch 40 | Loss (ELBO): 104.6938247680664
Epoch 41 | Loss (ELBO): 104.75393676757812
Epoch 42 | Loss (ELBO): 104.44371795654297
Epoch 43 | Loss (ELBO): 104.48919677734375
Epoch 44 | Loss (ELBO): 105.4552001953125
Epoch 45 | Loss (ELBO): 105.28739929199219
Epoch 46 | Loss (ELBO): 104.54129028320312
Epoch 47 | Loss (ELBO): 104.43623352050781
Epoch 48 | Loss (ELBO): 104.808837890625
Epoch 49 | Loss (ELBO): 103.43427276611328
Epoch 50 | Loss (ELBO): 103.27522277832031

root mean squared error: 0.170248066328
mean absolute error: 0.0565064764415
