Using TensorFlow backend.
2018-02-14 18:25:50.466304: I C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\36\tensorflow\core\platform\cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX
Epoch 1 | Loss (ELBO): 1869.253173828125
Epoch 2 | Loss (ELBO): 1783.11572265625
Epoch 3 | Loss (ELBO): 2553.498046875
Epoch 4 | Loss (ELBO): 1250.052734375
Epoch 5 | Loss (ELBO): 1081.9267578125
Epoch 6 | Loss (ELBO): 881.3229370117188
Epoch 7 | Loss (ELBO): 898.1515502929688
Epoch 8 | Loss (ELBO): 787.5472412109375
Epoch 9 | Loss (ELBO): 767.8658447265625
Epoch 10 | Loss (ELBO): 752.5972900390625
Epoch 11 | Loss (ELBO): 747.4135131835938
Epoch 12 | Loss (ELBO): 744.1483154296875
Epoch 13 | Loss (ELBO): 756.76220703125
Epoch 14 | Loss (ELBO): 736.7432250976562
Epoch 15 | Loss (ELBO): 738.0997924804688
Epoch 16 | Loss (ELBO): 767.4578247070312
Epoch 17 | Loss (ELBO): 795.2181396484375
Epoch 18 | Loss (ELBO): 756.072998046875
Epoch 19 | Loss (ELBO): 720.6036987304688
Epoch 20 | Loss (ELBO): 706.9891357421875
Epoch 21 | Loss (ELBO): 707.4794311523438
Epoch 22 | Loss (ELBO): 717.9010009765625
Epoch 23 | Loss (ELBO): 700.2694091796875
Epoch 24 | Loss (ELBO): 700.5278930664062
Epoch 25 | Loss (ELBO): 708.0654907226562
Epoch 26 | Loss (ELBO): 694.4984130859375
Epoch 27 | Loss (ELBO): 698.6805419921875
Epoch 28 | Loss (ELBO): 755.5438232421875
Epoch 29 | Loss (ELBO): 20152.55859375
Epoch 30 | Loss (ELBO): 2309.68408203125
Epoch 31 | Loss (ELBO): 21391.2578125
Epoch 32 | Loss (ELBO): 4180.0888671875
Epoch 33 | Loss (ELBO): 2212.220703125
Epoch 34 | Loss (ELBO): 1686.531982421875
Epoch 35 | Loss (ELBO): 1318.027099609375
