Epoch 1 | Loss (ELBO): 787.4747314453125
Epoch 2 | Loss (ELBO): 458.8616638183594
Epoch 3 | Loss (ELBO): 367.46649169921875
Epoch 4 | Loss (ELBO): 341.7210693359375
Epoch 5 | Loss (ELBO): 367.70025634765625
Epoch 6 | Loss (ELBO): 277.3148193359375
Epoch 7 | Loss (ELBO): 257.8848876953125
Epoch 8 | Loss (ELBO): 254.66029357910156
Epoch 9 | Loss (ELBO): 243.589111328125
Epoch 10 | Loss (ELBO): 235.12014770507812
Epoch 11 | Loss (ELBO): 226.54452514648438
Epoch 12 | Loss (ELBO): 219.09307861328125
Epoch 13 | Loss (ELBO): 213.0342254638672
Epoch 14 | Loss (ELBO): 209.3336181640625
Epoch 15 | Loss (ELBO): 204.1829833984375
Epoch 16 | Loss (ELBO): 200.35731506347656
Epoch 17 | Loss (ELBO): 196.650390625
Epoch 18 | Loss (ELBO): 194.70823669433594
Epoch 19 | Loss (ELBO): 191.04930114746094
Epoch 20 | Loss (ELBO): 187.767333984375
Epoch 21 | Loss (ELBO): 187.4882354736328
Epoch 22 | Loss (ELBO): 184.06671142578125
Epoch 23 | Loss (ELBO): 183.03614807128906
Epoch 24 | Loss (ELBO): 181.40524291992188
Epoch 25 | Loss (ELBO): 180.4229278564453
Epoch 26 | Loss (ELBO): 178.52438354492188
Epoch 27 | Loss (ELBO): 177.64418029785156
Epoch 28 | Loss (ELBO): 175.81642150878906
Epoch 29 | Loss (ELBO): 174.99635314941406
Epoch 30 | Loss (ELBO): 174.1963653564453
Epoch 31 | Loss (ELBO): 172.29901123046875
Epoch 32 | Loss (ELBO): 171.02154541015625
Epoch 33 | Loss (ELBO): 169.85777282714844
Epoch 34 | Loss (ELBO): 169.97091674804688
Epoch 35 | Loss (ELBO): 168.22659301757812
Epoch 36 | Loss (ELBO): 166.52352905273438
Epoch 37 | Loss (ELBO): 165.13143920898438
Epoch 38 | Loss (ELBO): 164.34678649902344
Epoch 39 | Loss (ELBO): 164.25588989257812
Epoch 40 | Loss (ELBO): 162.60910034179688
Epoch 41 | Loss (ELBO): 161.78282165527344
Epoch 42 | Loss (ELBO): 160.095458984375
Epoch 43 | Loss (ELBO): 158.94845581054688
Epoch 44 | Loss (ELBO): 158.2530975341797
Epoch 45 | Loss (ELBO): 158.02268981933594
Epoch 46 | Loss (ELBO): 156.44729614257812
Epoch 47 | Loss (ELBO): 155.67283630371094
Epoch 48 | Loss (ELBO): 154.82965087890625
Epoch 49 | Loss (ELBO): 152.86680603027344
Epoch 50 | Loss (ELBO): 152.753662109375
Epoch 51 | Loss (ELBO): 151.33157348632812
Epoch 52 | Loss (ELBO): 151.3411865234375
Epoch 53 | Loss (ELBO): 149.99404907226562
Epoch 54 | Loss (ELBO): 149.96087646484375
Epoch 55 | Loss (ELBO): 148.72218322753906
Epoch 56 | Loss (ELBO): 148.58016967773438
Epoch 57 | Loss (ELBO): 147.31112670898438
Epoch 58 | Loss (ELBO): 146.20169067382812
Epoch 59 | Loss (ELBO): 145.09429931640625
Epoch 60 | Loss (ELBO): 145.17381286621094
Epoch 61 | Loss (ELBO): 144.27069091796875
Epoch 62 | Loss (ELBO): 143.01116943359375
Epoch 63 | Loss (ELBO): 141.93441772460938
Epoch 64 | Loss (ELBO): 141.46876525878906
Epoch 65 | Loss (ELBO): 140.72344970703125
Epoch 66 | Loss (ELBO): 139.79014587402344
Epoch 67 | Loss (ELBO): 139.8206024169922
Epoch 68 | Loss (ELBO): 138.3056640625
Epoch 69 | Loss (ELBO): 137.6761016845703
Epoch 70 | Loss (ELBO): 136.39950561523438
Epoch 71 | Loss (ELBO): 136.36181640625
Epoch 72 | Loss (ELBO): 134.86123657226562
Epoch 73 | Loss (ELBO): 133.98037719726562
Epoch 74 | Loss (ELBO): 133.99276733398438
Epoch 75 | Loss (ELBO): 133.34837341308594
Epoch 76 | Loss (ELBO): 132.31463623046875
Epoch 77 | Loss (ELBO): 131.538818359375
Epoch 78 | Loss (ELBO): 131.35498046875
Epoch 79 | Loss (ELBO): 130.52760314941406
Epoch 80 | Loss (ELBO): 129.73046875
Epoch 81 | Loss (ELBO): 128.46917724609375
Epoch 82 | Loss (ELBO): 128.11460876464844
Epoch 83 | Loss (ELBO): 127.36357879638672
Epoch 84 | Loss (ELBO): 127.81304931640625
Epoch 85 | Loss (ELBO): 125.25321960449219
Epoch 86 | Loss (ELBO): 126.19969940185547
Epoch 87 | Loss (ELBO): 123.61193084716797
Epoch 88 | Loss (ELBO): 124.00634002685547
Epoch 89 | Loss (ELBO): 122.85982513427734
Epoch 90 | Loss (ELBO): 121.84584045410156
Epoch 91 | Loss (ELBO): 121.40139770507812
Epoch 92 | Loss (ELBO): 120.93382263183594
Epoch 93 | Loss (ELBO): 120.16522979736328
Epoch 94 | Loss (ELBO): 118.93762969970703
Epoch 95 | Loss (ELBO): 119.0457992553711
Epoch 96 | Loss (ELBO): 119.35980224609375
Epoch 97 | Loss (ELBO): 118.06244659423828
Epoch 98 | Loss (ELBO): 116.78812408447266
Epoch 99 | Loss (ELBO): 116.74162292480469
Epoch 100 | Loss (ELBO): 115.70307159423828

root mean squared error: 0.184748982704
