Epoch 1 | Loss (ELBO): 906.2401123046875
Epoch 2 | Loss (ELBO): 417.50091552734375
Epoch 3 | Loss (ELBO): 415.65753173828125
Epoch 4 | Loss (ELBO): 309.748291015625
Epoch 5 | Loss (ELBO): 283.30792236328125
Epoch 6 | Loss (ELBO): 266.408935546875
Epoch 7 | Loss (ELBO): 244.07440185546875
Epoch 8 | Loss (ELBO): 229.298583984375
Epoch 9 | Loss (ELBO): 218.7172393798828
Epoch 10 | Loss (ELBO): 211.4952392578125
Epoch 11 | Loss (ELBO): 203.34518432617188
Epoch 12 | Loss (ELBO): 200.4883575439453
Epoch 13 | Loss (ELBO): 195.45050048828125
Epoch 14 | Loss (ELBO): 192.93804931640625
Epoch 15 | Loss (ELBO): 191.456298828125
Epoch 16 | Loss (ELBO): 190.9116973876953
Epoch 17 | Loss (ELBO): 188.43960571289062
Epoch 18 | Loss (ELBO): 188.24163818359375
Epoch 19 | Loss (ELBO): 187.64462280273438
Epoch 20 | Loss (ELBO): 186.85935974121094
Epoch 21 | Loss (ELBO): 186.47511291503906
Epoch 22 | Loss (ELBO): 184.5104522705078
Epoch 23 | Loss (ELBO): 185.00439453125
Epoch 24 | Loss (ELBO): 184.019775390625
Epoch 25 | Loss (ELBO): 183.0027618408203
Epoch 26 | Loss (ELBO): 181.7852325439453
Epoch 27 | Loss (ELBO): 180.77359008789062
Epoch 28 | Loss (ELBO): 180.5477294921875
Epoch 29 | Loss (ELBO): 179.8498077392578
Epoch 30 | Loss (ELBO): 179.33029174804688
Epoch 31 | Loss (ELBO): 178.2940673828125
Epoch 32 | Loss (ELBO): 177.94155883789062
Epoch 33 | Loss (ELBO): 177.1683807373047
Epoch 34 | Loss (ELBO): 176.3584442138672
Epoch 35 | Loss (ELBO): 175.58836364746094
Epoch 36 | Loss (ELBO): 174.564453125
Epoch 37 | Loss (ELBO): 173.9044952392578
Epoch 38 | Loss (ELBO): 172.95370483398438
Epoch 39 | Loss (ELBO): 172.0877685546875
Epoch 40 | Loss (ELBO): 171.37197875976562
Epoch 41 | Loss (ELBO): 170.40846252441406
Epoch 42 | Loss (ELBO): 169.5248260498047
Epoch 43 | Loss (ELBO): 169.23890686035156
Epoch 44 | Loss (ELBO): 168.08953857421875
Epoch 45 | Loss (ELBO): 167.58242797851562
Epoch 46 | Loss (ELBO): 166.4025421142578
Epoch 47 | Loss (ELBO): 166.18411254882812
Epoch 48 | Loss (ELBO): 165.54977416992188
Epoch 49 | Loss (ELBO): 165.11541748046875
Epoch 50 | Loss (ELBO): 163.69200134277344
Epoch 51 | Loss (ELBO): 163.5104217529297
Epoch 52 | Loss (ELBO): 162.5643310546875
Epoch 53 | Loss (ELBO): 161.6024169921875
Epoch 54 | Loss (ELBO): 160.81878662109375
Epoch 55 | Loss (ELBO): 160.86358642578125
Epoch 56 | Loss (ELBO): 160.05372619628906
Epoch 57 | Loss (ELBO): 158.3703155517578
Epoch 58 | Loss (ELBO): 157.74374389648438
Epoch 59 | Loss (ELBO): 158.0570526123047
Epoch 60 | Loss (ELBO): 156.60211181640625
Epoch 61 | Loss (ELBO): 155.90330505371094
Epoch 62 | Loss (ELBO): 155.7917938232422
Epoch 63 | Loss (ELBO): 154.5786895751953
Epoch 64 | Loss (ELBO): 154.67234802246094
Epoch 65 | Loss (ELBO): 153.91505432128906
Epoch 66 | Loss (ELBO): 152.36387634277344
Epoch 67 | Loss (ELBO): 152.30455017089844
Epoch 68 | Loss (ELBO): 151.44444274902344
Epoch 69 | Loss (ELBO): 151.5685577392578
Epoch 70 | Loss (ELBO): 149.7707977294922
Epoch 71 | Loss (ELBO): 149.46044921875
Epoch 72 | Loss (ELBO): 149.4137725830078
Epoch 73 | Loss (ELBO): 148.07394409179688
Epoch 74 | Loss (ELBO): 147.66397094726562
Epoch 75 | Loss (ELBO): 147.80429077148438
Epoch 76 | Loss (ELBO): 147.32211303710938
Epoch 77 | Loss (ELBO): 145.6929168701172
Epoch 78 | Loss (ELBO): 144.9056396484375
Epoch 79 | Loss (ELBO): 144.79112243652344
Epoch 80 | Loss (ELBO): 144.2507781982422
Epoch 81 | Loss (ELBO): 143.36117553710938
Epoch 82 | Loss (ELBO): 142.62095642089844
Epoch 83 | Loss (ELBO): 142.15402221679688
Epoch 84 | Loss (ELBO): 141.65896606445312
Epoch 85 | Loss (ELBO): 140.72018432617188
Epoch 86 | Loss (ELBO): 140.44149780273438
Epoch 87 | Loss (ELBO): 140.11407470703125
Epoch 88 | Loss (ELBO): 139.18905639648438
Epoch 89 | Loss (ELBO): 138.31822204589844
Epoch 90 | Loss (ELBO): 138.5049285888672
Epoch 91 | Loss (ELBO): 138.185791015625
Epoch 92 | Loss (ELBO): 137.124755859375
Epoch 93 | Loss (ELBO): 136.35769653320312
Epoch 94 | Loss (ELBO): 136.2052001953125
Epoch 95 | Loss (ELBO): 134.97003173828125
Epoch 96 | Loss (ELBO): 134.44110107421875
Epoch 97 | Loss (ELBO): 134.56588745117188
Epoch 98 | Loss (ELBO): 133.5005645751953
Epoch 99 | Loss (ELBO): 132.914306640625
Epoch 100 | Loss (ELBO): 132.52651977539062

root mean squared error: 0.211730385214
