Reading TEST data...
Reading TEST labels...

Initializing parameters

Epoch 1 | Loss (ELBO): 200.83587646484375
Epoch 2 | Loss (ELBO): 191.14028930664062
Epoch 3 | Loss (ELBO): 179.51589965820312
Epoch 4 | Loss (ELBO): 164.49166870117188
Epoch 5 | Loss (ELBO): 147.94837951660156
Epoch 6 | Loss (ELBO): 138.45388793945312
Epoch 7 | Loss (ELBO): 133.46051025390625
Epoch 8 | Loss (ELBO): 129.4701385498047
Epoch 9 | Loss (ELBO): 127.7608413696289
Epoch 10 | Loss (ELBO): 126.0060806274414
Epoch 11 | Loss (ELBO): 124.05937194824219
Epoch 12 | Loss (ELBO): 122.1195297241211
Epoch 13 | Loss (ELBO): 120.92098236083984
Epoch 14 | Loss (ELBO): 121.25029754638672
Epoch 15 | Loss (ELBO): 118.94075012207031
Epoch 16 | Loss (ELBO): 118.84940338134766
Epoch 17 | Loss (ELBO): 118.21963500976562
Epoch 18 | Loss (ELBO): 117.15562438964844
Epoch 19 | Loss (ELBO): 116.29098510742188
Epoch 20 | Loss (ELBO): 115.87689208984375
Epoch 21 | Loss (ELBO): 115.86526489257812
Epoch 22 | Loss (ELBO): 114.44645690917969
Epoch 23 | Loss (ELBO): 114.39418029785156
Epoch 24 | Loss (ELBO): 114.43671417236328
Epoch 25 | Loss (ELBO): 114.63645935058594
Epoch 26 | Loss (ELBO): 113.23536682128906
Epoch 27 | Loss (ELBO): 112.1124038696289
Epoch 28 | Loss (ELBO): 112.02689361572266
Epoch 29 | Loss (ELBO): 111.43201446533203
Epoch 30 | Loss (ELBO): 111.70169830322266
Epoch 31 | Loss (ELBO): 112.16947174072266
Epoch 32 | Loss (ELBO): 111.81793212890625
Epoch 33 | Loss (ELBO): 110.54045867919922
Epoch 34 | Loss (ELBO): 111.5113296508789
Epoch 35 | Loss (ELBO): 110.88028717041016
Epoch 36 | Loss (ELBO): 111.42221069335938
Epoch 37 | Loss (ELBO): 110.39330291748047
Epoch 38 | Loss (ELBO): 111.01437377929688
Epoch 39 | Loss (ELBO): 111.7492446899414
Epoch 40 | Loss (ELBO): 110.42788696289062
Epoch 41 | Loss (ELBO): 109.08631896972656
Epoch 42 | Loss (ELBO): 111.00056457519531
Epoch 43 | Loss (ELBO): 109.55361938476562
Epoch 44 | Loss (ELBO): 110.85308837890625
Epoch 45 | Loss (ELBO): 108.4266357421875
Epoch 46 | Loss (ELBO): 108.71289825439453
Epoch 47 | Loss (ELBO): 109.1020736694336
Epoch 48 | Loss (ELBO): 109.94693756103516
Epoch 49 | Loss (ELBO): 109.80879974365234
Epoch 50 | Loss (ELBO): 109.823486328125

root mean squared error: 0.186880795395
mean absolute error: 0.0685835682327
