Using TensorFlow backend.
2018-02-14 18:27:36.548241: I C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\36\tensorflow\core\platform\cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX
Initializing parameters

Epoch 1 | Loss (ELBO): 686.3719482421875
Epoch 2 | Loss (ELBO): 683.3689575195312
Epoch 3 | Loss (ELBO): 683.2930908203125
Epoch 4 | Loss (ELBO): 682.2954711914062
Epoch 5 | Loss (ELBO): 682.0151977539062
Epoch 6 | Loss (ELBO): 682.550048828125
Epoch 7 | Loss (ELBO): 681.6368408203125
Epoch 8 | Loss (ELBO): 682.0591430664062
Epoch 9 | Loss (ELBO): 681.30712890625
Epoch 10 | Loss (ELBO): 681.5321655273438
Epoch 11 | Loss (ELBO): 680.9990234375
Epoch 12 | Loss (ELBO): 681.6911010742188
Epoch 13 | Loss (ELBO): 681.5509033203125
Epoch 14 | Loss (ELBO): 681.62353515625
Epoch 15 | Loss (ELBO): 681.7897338867188
Epoch 16 | Loss (ELBO): 681.3013916015625
Epoch 17 | Loss (ELBO): 682.4443359375
Epoch 18 | Loss (ELBO): 681.5653076171875
Epoch 19 | Loss (ELBO): 681.0247802734375
Epoch 20 | Loss (ELBO): 682.0560302734375
Epoch 21 | Loss (ELBO): 681.468994140625
Epoch 22 | Loss (ELBO): 681.9080200195312
Epoch 23 | Loss (ELBO): 680.73291015625
Epoch 24 | Loss (ELBO): 681.1162109375
Epoch 25 | Loss (ELBO): 681.5519409179688
Epoch 26 | Loss (ELBO): 681.108642578125
Epoch 27 | Loss (ELBO): 681.3078002929688
Epoch 28 | Loss (ELBO): 680.8500366210938
Epoch 29 | Loss (ELBO): 683.532470703125
Epoch 30 | Loss (ELBO): 680.8946533203125
Epoch 31 | Loss (ELBO): 681.1298828125
Epoch 32 | Loss (ELBO): 683.5809326171875
Epoch 33 | Loss (ELBO): 681.8229370117188
Epoch 34 | Loss (ELBO): 681.3062744140625
Epoch 35 | Loss (ELBO): 680.7530517578125
Epoch 36 | Loss (ELBO): 680.6767578125
Epoch 37 | Loss (ELBO): 681.1968383789062
Epoch 38 | Loss (ELBO): 681.6431274414062
Epoch 39 | Loss (ELBO): 681.4212646484375
Epoch 40 | Loss (ELBO): 680.6488647460938
Epoch 41 | Loss (ELBO): 680.6461181640625
Epoch 42 | Loss (ELBO): 681.3734130859375
Epoch 43 | Loss (ELBO): 680.6350708007812
Epoch 44 | Loss (ELBO): 681.3587036132812
Epoch 45 | Loss (ELBO): 682.155029296875
Epoch 46 | Loss (ELBO): 680.1991577148438
Epoch 47 | Loss (ELBO): 679.9976196289062
Epoch 48 | Loss (ELBO): 681.3456420898438
Epoch 49 | Loss (ELBO): 680.1710205078125
Epoch 50 | Loss (ELBO): 680.6058959960938
Epoch 51 | Loss (ELBO): 683.3649291992188
Epoch 52 | Loss (ELBO): 680.7391967773438
Epoch 53 | Loss (ELBO): 681.499755859375
Epoch 54 | Loss (ELBO): 679.9994506835938
Epoch 55 | Loss (ELBO): 680.6971435546875
Epoch 56 | Loss (ELBO): 680.5116577148438
Epoch 57 | Loss (ELBO): 680.630615234375
Epoch 58 | Loss (ELBO): 680.5740356445312
Epoch 59 | Loss (ELBO): 680.3453979492188
Epoch 60 | Loss (ELBO): 680.6373901367188
Epoch 61 | Loss (ELBO): 680.4718627929688
Epoch 62 | Loss (ELBO): 680.5865478515625
Epoch 63 | Loss (ELBO): 681.7115478515625
Epoch 64 | Loss (ELBO): 680.0762939453125
Epoch 65 | Loss (ELBO): 680.5742797851562
Epoch 66 | Loss (ELBO): 681.076416015625
Epoch 67 | Loss (ELBO): 681.2062377929688
Epoch 68 | Loss (ELBO): 680.2325439453125
Epoch 69 | Loss (ELBO): 681.419921875
Epoch 70 | Loss (ELBO): 681.18505859375
Epoch 71 | Loss (ELBO): 680.2928466796875
Epoch 72 | Loss (ELBO): 680.9920654296875
Epoch 73 | Loss (ELBO): 682.226806640625
Epoch 74 | Loss (ELBO): 680.324462890625
Epoch 75 | Loss (ELBO): 680.9315185546875
Epoch 76 | Loss (ELBO): 679.8938598632812
Epoch 77 | Loss (ELBO): 680.7937622070312
Epoch 78 | Loss (ELBO): 681.0079956054688
Epoch 79 | Loss (ELBO): 680.02783203125
Epoch 80 | Loss (ELBO): 681.5604248046875
Epoch 81 | Loss (ELBO): 680.5606079101562
Epoch 82 | Loss (ELBO): 680.1587524414062
Epoch 83 | Loss (ELBO): 680.7557373046875
Epoch 84 | Loss (ELBO): 681.0083618164062
Epoch 85 | Loss (ELBO): 680.0280151367188
Epoch 86 | Loss (ELBO): 680.03564453125
Epoch 87 | Loss (ELBO): 683.1478271484375
Epoch 88 | Loss (ELBO): 680.1430053710938
Epoch 89 | Loss (ELBO): 680.4530639648438
Epoch 90 | Loss (ELBO): 680.8704833984375
Epoch 91 | Loss (ELBO): 680.5875854492188
Epoch 92 | Loss (ELBO): 680.8494262695312
Epoch 93 | Loss (ELBO): 679.9807739257812
Epoch 94 | Loss (ELBO): 680.85498046875
Epoch 95 | Loss (ELBO): 679.9208374023438
Epoch 96 | Loss (ELBO): 683.1423950195312
Epoch 97 | Loss (ELBO): 680.3176879882812
Epoch 98 | Loss (ELBO): 681.3071899414062
Epoch 99 | Loss (ELBO): 680.624267578125
Epoch 100 | Loss (ELBO): 682.5146484375
Epoch 101 | Loss (ELBO): 680.3616943359375
Epoch 102 | Loss (ELBO): 680.484619140625
Epoch 103 | Loss (ELBO): 680.630615234375
Epoch 104 | Loss (ELBO): 680.7819213867188
Epoch 105 | Loss (ELBO): 680.8427734375
Epoch 106 | Loss (ELBO): 679.7800903320312
Epoch 107 | Loss (ELBO): 680.2807006835938
Epoch 108 | Loss (ELBO): 680.341552734375
Epoch 109 | Loss (ELBO): 681.0452880859375
Epoch 110 | Loss (ELBO): 681.354248046875
Epoch 111 | Loss (ELBO): 679.8765869140625
Epoch 112 | Loss (ELBO): 679.5276489257812
Epoch 113 | Loss (ELBO): 679.906005859375
Epoch 114 | Loss (ELBO): 680.1336059570312
Epoch 115 | Loss (ELBO): 679.7482299804688
Epoch 116 | Loss (ELBO): 680.8546752929688
Epoch 117 | Loss (ELBO): 679.9630126953125
Epoch 118 | Loss (ELBO): 680.1660766601562
Epoch 119 | Loss (ELBO): 679.5928344726562
Epoch 120 | Loss (ELBO): 679.6134643554688
Epoch 121 | Loss (ELBO): 679.9352416992188
Epoch 122 | Loss (ELBO): 678.7594604492188
Epoch 123 | Loss (ELBO): 680.7638549804688
Epoch 124 | Loss (ELBO): 680.2257690429688
Epoch 125 | Loss (ELBO): 678.4630737304688
Epoch 126 | Loss (ELBO): 679.022705078125
Epoch 127 | Loss (ELBO): 678.3798217773438
Epoch 128 | Loss (ELBO): 678.4766235351562
Epoch 129 | Loss (ELBO): 678.1364135742188
Epoch 130 | Loss (ELBO): 678.9487915039062
Epoch 131 | Loss (ELBO): 678.494140625
Epoch 132 | Loss (ELBO): 678.2648315429688
Epoch 133 | Loss (ELBO): 677.7169799804688
Epoch 134 | Loss (ELBO): 679.5875854492188
Epoch 135 | Loss (ELBO): 677.0025024414062
Epoch 136 | Loss (ELBO): 677.311767578125
Epoch 137 | Loss (ELBO): 676.7985229492188
Epoch 138 | Loss (ELBO): 677.3671875
Epoch 139 | Loss (ELBO): 676.8095092773438
Epoch 140 | Loss (ELBO): 676.9188842773438
Epoch 141 | Loss (ELBO): 676.1929931640625
Epoch 142 | Loss (ELBO): 677.9791870117188
Epoch 143 | Loss (ELBO): 678.2660522460938
Epoch 144 | Loss (ELBO): 677.8809814453125
Epoch 145 | Loss (ELBO): 675.6723022460938
Epoch 146 | Loss (ELBO): 678.7113647460938
Epoch 147 | Loss (ELBO): 675.609375
Epoch 148 | Loss (ELBO): 675.1759033203125
Epoch 149 | Loss (ELBO): 676.9000244140625
Epoch 150 | Loss (ELBO): 679.04443359375
Epoch 151 | Loss (ELBO): 677.7296142578125
Epoch 152 | Loss (ELBO): 676.8489379882812
Epoch 153 | Loss (ELBO): 675.9004516601562
Epoch 154 | Loss (ELBO): 674.916748046875
Epoch 155 | Loss (ELBO): 674.359130859375
Epoch 156 | Loss (ELBO): 674.4270629882812
Epoch 157 | Loss (ELBO): 676.6099853515625
Epoch 158 | Loss (ELBO): 674.2573852539062
Epoch 159 | Loss (ELBO): 676.1610717773438
Epoch 160 | Loss (ELBO): 674.0999755859375
Epoch 161 | Loss (ELBO): 673.8766479492188
Epoch 162 | Loss (ELBO): 674.670166015625
Epoch 163 | Loss (ELBO): 673.8046875
Epoch 164 | Loss (ELBO): 672.4296264648438
Epoch 165 | Loss (ELBO): 672.4757690429688
Epoch 166 | Loss (ELBO): 672.00830078125
Epoch 167 | Loss (ELBO): 672.1455688476562
Epoch 168 | Loss (ELBO): 672.9806518554688
Epoch 169 | Loss (ELBO): 671.177001953125
Epoch 170 | Loss (ELBO): 675.0298461914062
Epoch 171 | Loss (ELBO): 671.301513671875
Epoch 172 | Loss (ELBO): 670.7342529296875
Epoch 173 | Loss (ELBO): 670.763427734375
Epoch 174 | Loss (ELBO): 670.0046997070312
Epoch 175 | Loss (ELBO): 673.0501708984375
Epoch 176 | Loss (ELBO): 671.293212890625
Epoch 177 | Loss (ELBO): 669.7136840820312
Epoch 178 | Loss (ELBO): 669.5009155273438
Epoch 179 | Loss (ELBO): 669.340087890625
