Initializing parameters

Epoch 1 | Loss (ELBO): 7142.89111328125
Epoch 2 | Loss (ELBO): 182431399936.0
Epoch 3 | Loss (ELBO): 7075.146484375
Epoch 4 | Loss (ELBO): 8844.8349609375
Epoch 5 | Loss (ELBO): 12538.7412109375
Epoch 6 | Loss (ELBO): 8632.9189453125
Epoch 7 | Loss (ELBO): 7032.076171875
Epoch 8 | Loss (ELBO): 7093.63232421875
Epoch 9 | Loss (ELBO): 7251.25634765625
Epoch 10 | Loss (ELBO): 7496.3935546875
Epoch 11 | Loss (ELBO): 7808.5908203125
Epoch 12 | Loss (ELBO): 8158.00634765625
Epoch 13 | Loss (ELBO): 8510.5888671875
Epoch 14 | Loss (ELBO): 8836.208984375
Epoch 15 | Loss (ELBO): 9115.4970703125
Epoch 16 | Loss (ELBO): 9339.4658203125
Epoch 17 | Loss (ELBO): 9506.1484375
Epoch 18 | Loss (ELBO): 9619.224609375
Epoch 19 | Loss (ELBO): 9684.681640625
Epoch 20 | Loss (ELBO): 9708.72265625
Epoch 21 | Loss (ELBO): 9699.9248046875
Epoch 22 | Loss (ELBO): 9663.294921875
Epoch 23 | Loss (ELBO): 9596.3740234375
Epoch 24 | Loss (ELBO): 9497.009765625
Epoch 25 | Loss (ELBO): 9361.162109375
Epoch 26 | Loss (ELBO): 9186.45703125
Epoch 27 | Loss (ELBO): 8976.99609375
Epoch 28 | Loss (ELBO): 8742.9111328125
Epoch 29 | Loss (ELBO): 8497.712890625
Epoch 30 | Loss (ELBO): 8255.275390625
Epoch 31 | Loss (ELBO): 8028.75634765625
Epoch 32 | Loss (ELBO): 7827.037109375
Epoch 33 | Loss (ELBO): 7652.87109375
Epoch 34 | Loss (ELBO): 7505.509765625
Epoch 35 | Loss (ELBO): 7382.6181640625
Epoch 36 | Loss (ELBO): 7280.833984375
Epoch 37 | Loss (ELBO): 7198.103515625
Epoch 38 | Loss (ELBO): 7132.69140625
Epoch 39 | Loss (ELBO): 7083.869140625
Epoch 40 | Loss (ELBO): 7154.24853515625
Epoch 41 | Loss (ELBO): 7047.5
Epoch 42 | Loss (ELBO): 7067.61865234375
Epoch 43 | Loss (ELBO): 7096.27001953125
Epoch 44 | Loss (ELBO): 7122.1826171875
Epoch 45 | Loss (ELBO): 7139.01513671875
Epoch 46 | Loss (ELBO): 7145.47802734375
Epoch 47 | Loss (ELBO): 7143.7548828125
Epoch 48 | Loss (ELBO): 7137.16796875
Epoch 49 | Loss (ELBO): 7128.66748046875
Epoch 50 | Loss (ELBO): 7120.291015625
Epoch 51 | Loss (ELBO): 7113.01171875
Epoch 52 | Loss (ELBO): 7106.75244140625
Epoch 53 | Loss (ELBO): 7100.84521484375
Epoch 54 | Loss (ELBO): 7094.4462890625
Epoch 55 | Loss (ELBO): 7086.93115234375
Epoch 56 | Loss (ELBO): 7078.2294921875
Epoch 57 | Loss (ELBO): 7068.57861328125
Epoch 58 | Loss (ELBO): 7058.37109375
Epoch 59 | Loss (ELBO): 7047.68896484375
Epoch 60 | Loss (ELBO): 7037.87646484375
Epoch 61 | Loss (ELBO): 7046.30126953125
Epoch 62 | Loss (ELBO): 7026.32763671875
Epoch 63 | Loss (ELBO): 7028.240234375
Epoch 64 | Loss (ELBO): 7035.00390625
Epoch 65 | Loss (ELBO): 7033.00732421875
Epoch 66 | Loss (ELBO): 7032.734375
Epoch 67 | Loss (ELBO): 7031.06005859375
Epoch 68 | Loss (ELBO): 7028.18701171875
Epoch 69 | Loss (ELBO): 7024.75390625
Epoch 70 | Loss (ELBO): 7021.22509765625
Epoch 71 | Loss (ELBO): 7017.67626953125
Epoch 72 | Loss (ELBO): 7014.05419921875
Epoch 73 | Loss (ELBO): 7010.06884765625
Epoch 74 | Loss (ELBO): 7005.794921875
Epoch 75 | Loss (ELBO): 7002.25146484375
Epoch 76 | Loss (ELBO): 7015.36767578125
Epoch 77 | Loss (ELBO): 6996.3466796875
Epoch 78 | Loss (ELBO): 7002.61865234375
Epoch 79 | Loss (ELBO): 7009.84130859375
Epoch 80 | Loss (ELBO): 7015.82421875
Epoch 81 | Loss (ELBO): 7018.56494140625
Epoch 82 | Loss (ELBO): 7018.28271484375
Epoch 83 | Loss (ELBO): 7016.7099609375
Epoch 84 | Loss (ELBO): 7014.513671875
Epoch 85 | Loss (ELBO): 7010.90185546875
Epoch 86 | Loss (ELBO): 7006.52880859375
Epoch 87 | Loss (ELBO): 7002.62451171875
Epoch 88 | Loss (ELBO): 6999.08056640625
Epoch 89 | Loss (ELBO): 6994.57861328125
Epoch 90 | Loss (ELBO): 6988.71728515625
Epoch 91 | Loss (ELBO): 6982.80419921875
Epoch 92 | Loss (ELBO): 6977.451171875
Epoch 93 | Loss (ELBO): 6972.81884765625
Epoch 94 | Loss (ELBO): 6974.17138671875
Epoch 95 | Loss (ELBO): 6971.87890625
Epoch 96 | Loss (ELBO): 6970.38623046875
Epoch 97 | Loss (ELBO): 6974.833984375
Epoch 98 | Loss (ELBO): 6979.13623046875
Epoch 99 | Loss (ELBO): 6982.12255859375
Epoch 100 | Loss (ELBO): 6983.43017578125

root mean squared error: 0.154957587656
