Initializing parameters

Epoch 1 | Loss (ELBO): 543.4271240234375
Epoch 2 | Loss (ELBO): 500.7629089355469
Epoch 3 | Loss (ELBO): 352.7837829589844
Epoch 4 | Loss (ELBO): 565.3943481445312
Epoch 5 | Loss (ELBO): 281.19134521484375
Epoch 6 | Loss (ELBO): 274.5296936035156
Epoch 7 | Loss (ELBO): 234.3175048828125
Epoch 8 | Loss (ELBO): 210.62757873535156
Epoch 9 | Loss (ELBO): 203.07887268066406
Epoch 10 | Loss (ELBO): 196.47430419921875
Epoch 11 | Loss (ELBO): 194.36672973632812
Epoch 12 | Loss (ELBO): 194.03973388671875
Epoch 13 | Loss (ELBO): 190.9125213623047
Epoch 14 | Loss (ELBO): 188.76243591308594
Epoch 15 | Loss (ELBO): 186.08770751953125
Epoch 16 | Loss (ELBO): 181.99896240234375
Epoch 17 | Loss (ELBO): 182.42543029785156
Epoch 18 | Loss (ELBO): 182.60105895996094
Epoch 19 | Loss (ELBO): 182.88101196289062
Epoch 20 | Loss (ELBO): 182.8516845703125
Epoch 21 | Loss (ELBO): 183.29164123535156
Epoch 22 | Loss (ELBO): 182.10311889648438
Epoch 23 | Loss (ELBO): 182.324462890625
Epoch 24 | Loss (ELBO): 182.56520080566406
Epoch 25 | Loss (ELBO): 181.9149932861328
Epoch 26 | Loss (ELBO): 182.03871154785156
Epoch 27 | Loss (ELBO): 181.9187469482422
Epoch 28 | Loss (ELBO): 181.64405822753906
Epoch 29 | Loss (ELBO): 181.34146118164062
Epoch 30 | Loss (ELBO): 180.8883514404297
Epoch 31 | Loss (ELBO): 179.81153869628906
Epoch 32 | Loss (ELBO): 179.51901245117188
Epoch 33 | Loss (ELBO): 178.64813232421875
Epoch 34 | Loss (ELBO): 178.14073181152344
Epoch 35 | Loss (ELBO): 177.38119506835938
Epoch 36 | Loss (ELBO): 177.26185607910156
Epoch 37 | Loss (ELBO): 176.70330810546875
Epoch 38 | Loss (ELBO): 176.37449645996094
Epoch 39 | Loss (ELBO): 176.11135864257812
Epoch 40 | Loss (ELBO): 175.6240997314453
Epoch 41 | Loss (ELBO): 175.4118194580078
Epoch 42 | Loss (ELBO): 175.0087127685547
Epoch 43 | Loss (ELBO): 174.44737243652344
Epoch 44 | Loss (ELBO): 174.22853088378906
Epoch 45 | Loss (ELBO): 173.62893676757812
Epoch 46 | Loss (ELBO): 173.30227661132812
Epoch 47 | Loss (ELBO): 173.70526123046875
Epoch 48 | Loss (ELBO): 172.54310607910156
Epoch 49 | Loss (ELBO): 172.7507781982422
Epoch 50 | Loss (ELBO): 171.97496032714844
Epoch 51 | Loss (ELBO): 172.22315979003906
Epoch 52 | Loss (ELBO): 171.4014892578125
Epoch 53 | Loss (ELBO): 171.79953002929688
Epoch 54 | Loss (ELBO): 171.02349853515625
Epoch 55 | Loss (ELBO): 170.4665069580078
Epoch 56 | Loss (ELBO): 170.4554443359375
Epoch 57 | Loss (ELBO): 170.3721466064453
Epoch 58 | Loss (ELBO): 169.76416015625
Epoch 59 | Loss (ELBO): 169.83349609375
Epoch 60 | Loss (ELBO): 169.65533447265625
Epoch 61 | Loss (ELBO): 169.48876953125
Epoch 62 | Loss (ELBO): 169.51168823242188
Epoch 63 | Loss (ELBO): 169.46759033203125
Epoch 64 | Loss (ELBO): 169.15420532226562
Epoch 65 | Loss (ELBO): 168.9131622314453
Epoch 66 | Loss (ELBO): 168.46621704101562
Epoch 67 | Loss (ELBO): 168.41456604003906
Epoch 68 | Loss (ELBO): 168.36343383789062
Epoch 69 | Loss (ELBO): 168.073974609375
Epoch 70 | Loss (ELBO): 168.1151580810547
Epoch 71 | Loss (ELBO): 167.28639221191406
Epoch 72 | Loss (ELBO): 167.4622344970703
Epoch 73 | Loss (ELBO): 166.91632080078125
Epoch 74 | Loss (ELBO): 167.08120727539062
Epoch 75 | Loss (ELBO): 166.59002685546875
Epoch 76 | Loss (ELBO): 166.3627166748047
Epoch 77 | Loss (ELBO): 166.63816833496094
Epoch 78 | Loss (ELBO): 166.00833129882812
Epoch 79 | Loss (ELBO): 165.9615936279297
Epoch 80 | Loss (ELBO): 165.59776306152344
Epoch 81 | Loss (ELBO): 165.5593719482422
Epoch 82 | Loss (ELBO): 165.1437225341797
Epoch 83 | Loss (ELBO): 164.50201416015625
Epoch 84 | Loss (ELBO): 164.5294189453125
Epoch 85 | Loss (ELBO): 164.32217407226562
Epoch 86 | Loss (ELBO): 164.2008056640625
Epoch 87 | Loss (ELBO): 163.84104919433594
Epoch 88 | Loss (ELBO): 164.05169677734375
Epoch 89 | Loss (ELBO): 164.30130004882812
Epoch 90 | Loss (ELBO): 163.3800506591797
Epoch 91 | Loss (ELBO): 162.92153930664062
Epoch 92 | Loss (ELBO): 162.94410705566406
Epoch 93 | Loss (ELBO): 163.0179443359375
Epoch 94 | Loss (ELBO): 162.79266357421875
Epoch 95 | Loss (ELBO): 162.35426330566406
Epoch 96 | Loss (ELBO): 162.22079467773438
Epoch 97 | Loss (ELBO): 162.2428436279297
Epoch 98 | Loss (ELBO): 162.47621154785156
Epoch 99 | Loss (ELBO): 161.82785034179688
Epoch 100 | Loss (ELBO): 161.94581604003906

root mean squared error: 0.25332789406
