Initializing parameters

Epoch 1 | Loss (ELBO): 543.4283447265625
Epoch 2 | Loss (ELBO): 503.5398864746094
Epoch 3 | Loss (ELBO): 348.97576904296875
Epoch 4 | Loss (ELBO): 729.8846435546875
Epoch 5 | Loss (ELBO): 300.5504150390625
Epoch 6 | Loss (ELBO): 286.8412170410156
Epoch 7 | Loss (ELBO): 247.73622131347656
Epoch 8 | Loss (ELBO): 228.4228057861328
Epoch 9 | Loss (ELBO): 219.65509033203125
Epoch 10 | Loss (ELBO): 216.49913024902344
Epoch 11 | Loss (ELBO): 215.7925567626953
Epoch 12 | Loss (ELBO): 213.27757263183594
Epoch 13 | Loss (ELBO): 207.6067352294922
Epoch 14 | Loss (ELBO): 200.6673126220703
Epoch 15 | Loss (ELBO): 193.6452178955078
Epoch 16 | Loss (ELBO): 188.5226593017578
Epoch 17 | Loss (ELBO): 186.06336975097656
Epoch 18 | Loss (ELBO): 185.28952026367188
Epoch 19 | Loss (ELBO): 186.43310546875
Epoch 20 | Loss (ELBO): 186.7848663330078
Epoch 21 | Loss (ELBO): 187.62863159179688
Epoch 22 | Loss (ELBO): 188.5071563720703
Epoch 23 | Loss (ELBO): 189.5603790283203
Epoch 24 | Loss (ELBO): 189.48004150390625
Epoch 25 | Loss (ELBO): 188.92356872558594
Epoch 26 | Loss (ELBO): 189.11717224121094
Epoch 27 | Loss (ELBO): 187.74798583984375
Epoch 28 | Loss (ELBO): 186.734619140625
Epoch 29 | Loss (ELBO): 187.21438598632812
Epoch 30 | Loss (ELBO): 187.00746154785156
Epoch 31 | Loss (ELBO): 186.2880859375
Epoch 32 | Loss (ELBO): 185.1559600830078
Epoch 33 | Loss (ELBO): 185.68649291992188
Epoch 34 | Loss (ELBO): 184.80418395996094
Epoch 35 | Loss (ELBO): 184.07363891601562
Epoch 36 | Loss (ELBO): 184.1079864501953
Epoch 37 | Loss (ELBO): 182.1305389404297
Epoch 38 | Loss (ELBO): 182.12229919433594
Epoch 39 | Loss (ELBO): 182.63018798828125
Epoch 40 | Loss (ELBO): 182.3272247314453
Epoch 41 | Loss (ELBO): 182.1438446044922
Epoch 42 | Loss (ELBO): 182.0862579345703
Epoch 43 | Loss (ELBO): 181.57777404785156
Epoch 44 | Loss (ELBO): 181.17262268066406
Epoch 45 | Loss (ELBO): 181.41336059570312
Epoch 46 | Loss (ELBO): 180.46556091308594
Epoch 47 | Loss (ELBO): 181.103271484375
Epoch 48 | Loss (ELBO): 180.96365356445312
Epoch 49 | Loss (ELBO): 181.22230529785156
Epoch 50 | Loss (ELBO): 180.93568420410156
Epoch 51 | Loss (ELBO): 180.30538940429688
Epoch 52 | Loss (ELBO): 179.6324920654297
Epoch 53 | Loss (ELBO): 180.3494110107422
Epoch 54 | Loss (ELBO): 179.8697967529297
Epoch 55 | Loss (ELBO): 179.7938995361328
Epoch 56 | Loss (ELBO): 179.9128875732422
Epoch 57 | Loss (ELBO): 179.72952270507812
Epoch 58 | Loss (ELBO): 179.23529052734375
Epoch 59 | Loss (ELBO): 180.04669189453125
Epoch 60 | Loss (ELBO): 179.5687713623047
Epoch 61 | Loss (ELBO): 179.05752563476562
Epoch 62 | Loss (ELBO): 178.9134979248047
Epoch 63 | Loss (ELBO): 178.99598693847656
Epoch 64 | Loss (ELBO): 179.135009765625
Epoch 65 | Loss (ELBO): 178.89414978027344
Epoch 66 | Loss (ELBO): 178.8371124267578
Epoch 67 | Loss (ELBO): 179.3750762939453
Epoch 68 | Loss (ELBO): 178.8763885498047
Epoch 69 | Loss (ELBO): 178.88099670410156
Epoch 70 | Loss (ELBO): 178.68594360351562
Epoch 71 | Loss (ELBO): 178.71331787109375
Epoch 72 | Loss (ELBO): 178.6820526123047
Epoch 73 | Loss (ELBO): 178.21734619140625
Epoch 74 | Loss (ELBO): 178.53863525390625
Epoch 75 | Loss (ELBO): 178.14852905273438
Epoch 76 | Loss (ELBO): 178.4776153564453
Epoch 77 | Loss (ELBO): 178.6647186279297
Epoch 78 | Loss (ELBO): 178.2141876220703
Epoch 79 | Loss (ELBO): 177.95606994628906
Epoch 80 | Loss (ELBO): 177.87881469726562
Epoch 81 | Loss (ELBO): 178.1214141845703
Epoch 82 | Loss (ELBO): 177.51962280273438
Epoch 83 | Loss (ELBO): 177.81100463867188
Epoch 84 | Loss (ELBO): 177.69528198242188
Epoch 85 | Loss (ELBO): 177.66213989257812
Epoch 86 | Loss (ELBO): 177.87606811523438
Epoch 87 | Loss (ELBO): 178.22518920898438
Epoch 88 | Loss (ELBO): 177.3255157470703
Epoch 89 | Loss (ELBO): 177.27359008789062
Epoch 90 | Loss (ELBO): 176.97047424316406
Epoch 91 | Loss (ELBO): 177.5885467529297
Epoch 92 | Loss (ELBO): 177.4673614501953
Epoch 93 | Loss (ELBO): 177.2643585205078
Epoch 94 | Loss (ELBO): 177.4261016845703
Epoch 95 | Loss (ELBO): 177.18736267089844
Epoch 96 | Loss (ELBO): 176.9622039794922
Epoch 97 | Loss (ELBO): 176.88833618164062
Epoch 98 | Loss (ELBO): 176.98854064941406
Epoch 99 | Loss (ELBO): 177.1004180908203
Epoch 100 | Loss (ELBO): 176.6096649169922

root mean squared error: 0.267865035456
