Downloading the dataset

Initializing parameters

Epoch 1 | Loss (ELBO): 7142.91259765625
Epoch 2 | Loss (ELBO): 192622493696.0
Epoch 3 | Loss (ELBO): 7042.2138671875
Epoch 4 | Loss (ELBO): 11331.1328125
Epoch 5 | Loss (ELBO): 20049.2109375
Epoch 6 | Loss (ELBO): 11234.8916015625
Epoch 7 | Loss (ELBO): 7538.7275390625
Epoch 8 | Loss (ELBO): 7898.29736328125
Epoch 9 | Loss (ELBO): 8469.048828125
Epoch 10 | Loss (ELBO): 9188.7724609375
Epoch 11 | Loss (ELBO): 9995.8779296875
Epoch 12 | Loss (ELBO): 10833.34765625
Epoch 13 | Loss (ELBO): 11651.724609375
Epoch 14 | Loss (ELBO): 12409.1787109375
Epoch 15 | Loss (ELBO): 13066.0478515625
Epoch 16 | Loss (ELBO): 13588.3466796875
Epoch 17 | Loss (ELBO): 13951.6376953125
Epoch 18 | Loss (ELBO): 14151.7275390625
Epoch 19 | Loss (ELBO): 14179.7529296875
Epoch 20 | Loss (ELBO): 14056.708984375
Epoch 21 | Loss (ELBO): 13791.7158203125
Epoch 22 | Loss (ELBO): 13416.0322265625
Epoch 23 | Loss (ELBO): 12944.0458984375
Epoch 24 | Loss (ELBO): 12378.9228515625
Epoch 25 | Loss (ELBO): 11768.53515625
Epoch 26 | Loss (ELBO): 11129.482421875
Epoch 27 | Loss (ELBO): 10481.1357421875
Epoch 28 | Loss (ELBO): 9852.978515625
Epoch 29 | Loss (ELBO): 9258.2646484375
Epoch 30 | Loss (ELBO): 8731.0673828125
Epoch 31 | Loss (ELBO): 8283.4384765625
Epoch 32 | Loss (ELBO): 7928.7705078125
Epoch 33 | Loss (ELBO): 7670.1201171875
Epoch 34 | Loss (ELBO): 7503.23583984375
Epoch 35 | Loss (ELBO): 12538.9140625
Epoch 36 | Loss (ELBO): 7655.44140625
Epoch 37 | Loss (ELBO): 8296.7021484375
Epoch 38 | Loss (ELBO): 9213.4541015625
Epoch 39 | Loss (ELBO): 10299.39453125
Epoch 40 | Loss (ELBO): 11469.232421875
Epoch 41 | Loss (ELBO): 12643.4365234375
Epoch 42 | Loss (ELBO): 13763.1474609375
Epoch 43 | Loss (ELBO): 14793.193359375
Epoch 44 | Loss (ELBO): 15708.8095703125
Epoch 45 | Loss (ELBO): 16492.9765625
Epoch 46 | Loss (ELBO): 17132.802734375
Epoch 47 | Loss (ELBO): 17630.33984375
Epoch 48 | Loss (ELBO): 17992.154296875
Epoch 49 | Loss (ELBO): 18224.4921875
Epoch 50 | Loss (ELBO): 18331.94921875
Epoch 51 | Loss (ELBO): 18325.197265625
Epoch 52 | Loss (ELBO): 18215.296875
Epoch 53 | Loss (ELBO): 18010.134765625
Epoch 54 | Loss (ELBO): 17721.79296875
Epoch 55 | Loss (ELBO): 17363.099609375
Epoch 56 | Loss (ELBO): 16948.16015625
Epoch 57 | Loss (ELBO): 16487.755859375
Epoch 58 | Loss (ELBO): 15990.240234375
Epoch 59 | Loss (ELBO): 15469.83984375
Epoch 60 | Loss (ELBO): 14940.8427734375
Epoch 61 | Loss (ELBO): 14409.4951171875
Epoch 62 | Loss (ELBO): 13879.900390625
Epoch 63 | Loss (ELBO): 13361.6240234375
Epoch 64 | Loss (ELBO): 12858.080078125
Epoch 65 | Loss (ELBO): 12372.794921875
Epoch 66 | Loss (ELBO): 11908.1591796875
Epoch 67 | Loss (ELBO): 11466.7421875
Epoch 68 | Loss (ELBO): 11050.1279296875
Epoch 69 | Loss (ELBO): 10658.9873046875
Epoch 70 | Loss (ELBO): 10293.89453125
Epoch 71 | Loss (ELBO): 9955.54296875
Epoch 72 | Loss (ELBO): 9643.80859375
Epoch 73 | Loss (ELBO): 9358.017578125
Epoch 74 | Loss (ELBO): 9098.6845703125
Epoch 75 | Loss (ELBO): 8864.8525390625
Epoch 76 | Loss (ELBO): 8652.931640625
Epoch 77 | Loss (ELBO): 8462.2138671875
Epoch 78 | Loss (ELBO): 8291.869140625
Epoch 79 | Loss (ELBO): 8140.82861328125
Epoch 80 | Loss (ELBO): 8007.21142578125
Epoch 81 | Loss (ELBO): 7888.9775390625
Epoch 82 | Loss (ELBO): 7785.78125
Epoch 83 | Loss (ELBO): 7696.552734375
Epoch 84 | Loss (ELBO): 7619.8525390625
Epoch 85 | Loss (ELBO): 7554.16748046875
Epoch 86 | Loss (ELBO): 7498.12353515625
Epoch 87 | Loss (ELBO): 7450.64892578125
Epoch 88 | Loss (ELBO): 7410.7900390625
Epoch 89 | Loss (ELBO): 7377.55517578125
Epoch 90 | Loss (ELBO): 7350.1201171875
Epoch 91 | Loss (ELBO): 7328.78515625
Epoch 92 | Loss (ELBO): 7315.10498046875
Epoch 93 | Loss (ELBO): 7344.10888671875
Epoch 94 | Loss (ELBO): 7295.9560546875
Epoch 95 | Loss (ELBO): 7292.587890625
Epoch 96 | Loss (ELBO): 7293.9814453125
Epoch 97 | Loss (ELBO): 7294.86181640625
Epoch 98 | Loss (ELBO): 7291.09619140625
Epoch 99 | Loss (ELBO): 7285.78515625
Epoch 100 | Loss (ELBO): 7278.5068359375

root mean squared error: 0.1584180233342964
mean absolute error: 0.13105138582068163
