Getting YALE faces dataset...

Epoch 1 | Loss (ELBO): 22363.19921875
Epoch 2 | Loss (ELBO): inf
Epoch 3 | Loss (ELBO): nan
Epoch 4 | Loss (ELBO): nan
Epoch 5 | Loss (ELBO): nan
Epoch 6 | Loss (ELBO): nan
Epoch 7 | Loss (ELBO): nan
Epoch 8 | Loss (ELBO): nan
Epoch 9 | Loss (ELBO): nan
Epoch 10 | Loss (ELBO): nan
Epoch 11 | Loss (ELBO): nan
Epoch 12 | Loss (ELBO): nan
Epoch 13 | Loss (ELBO): nan
Epoch 14 | Loss (ELBO): nan
Epoch 15 | Loss (ELBO): nan
Epoch 16 | Loss (ELBO): nan
Epoch 17 | Loss (ELBO): nan
Epoch 18 | Loss (ELBO): nan
Epoch 19 | Loss (ELBO): nan
Epoch 20 | Loss (ELBO): nan
Epoch 21 | Loss (ELBO): nan
Epoch 22 | Loss (ELBO): nan
Epoch 23 | Loss (ELBO): nan
Epoch 24 | Loss (ELBO): nan
Epoch 25 | Loss (ELBO): nan
Epoch 26 | Loss (ELBO): nan
Epoch 27 | Loss (ELBO): nan
Epoch 28 | Loss (ELBO): nan
Epoch 29 | Loss (ELBO): nan
Epoch 30 | Loss (ELBO): nan
Epoch 31 | Loss (ELBO): nan
Epoch 32 | Loss (ELBO): nan
Epoch 33 | Loss (ELBO): nan
Epoch 34 | Loss (ELBO): nan
Epoch 35 | Loss (ELBO): nan
Epoch 36 | Loss (ELBO): nan
Epoch 37 | Loss (ELBO): nan
Epoch 38 | Loss (ELBO): nan
Epoch 39 | Loss (ELBO): nan
Epoch 40 | Loss (ELBO): nan
Epoch 41 | Loss (ELBO): nan
Epoch 42 | Loss (ELBO): nan
Epoch 43 | Loss (ELBO): nan
Epoch 44 | Loss (ELBO): nan
Epoch 45 | Loss (ELBO): nan
Epoch 46 | Loss (ELBO): nan
Epoch 47 | Loss (ELBO): nan
Epoch 48 | Loss (ELBO): nan
Epoch 49 | Loss (ELBO): nan
Epoch 50 | Loss (ELBO): nan
Epoch 51 | Loss (ELBO): nan
Epoch 52 | Loss (ELBO): nan
Epoch 53 | Loss (ELBO): nan
Epoch 54 | Loss (ELBO): nan
Epoch 55 | Loss (ELBO): nan
Epoch 56 | Loss (ELBO): nan
Epoch 57 | Loss (ELBO): nan
Epoch 58 | Loss (ELBO): nan
Epoch 59 | Loss (ELBO): nan
Epoch 60 | Loss (ELBO): nan
Epoch 61 | Loss (ELBO): nan
Epoch 62 | Loss (ELBO): nan
Epoch 63 | Loss (ELBO): nan
Epoch 64 | Loss (ELBO): nan
Epoch 65 | Loss (ELBO): nan
Epoch 66 | Loss (ELBO): nan
Epoch 67 | Loss (ELBO): nan
Epoch 68 | Loss (ELBO): nan
Epoch 69 | Loss (ELBO): nan
Epoch 70 | Loss (ELBO): nan
Epoch 71 | Loss (ELBO): nan
Epoch 72 | Loss (ELBO): nan
Epoch 73 | Loss (ELBO): nan
Epoch 74 | Loss (ELBO): nan
Epoch 75 | Loss (ELBO): nan
Epoch 76 | Loss (ELBO): nan
Epoch 77 | Loss (ELBO): nan
Epoch 78 | Loss (ELBO): nan
Epoch 79 | Loss (ELBO): nan
Epoch 80 | Loss (ELBO): nan
Epoch 81 | Loss (ELBO): nan
Epoch 82 | Loss (ELBO): nan
Epoch 83 | Loss (ELBO): nan
Epoch 84 | Loss (ELBO): nan
Epoch 85 | Loss (ELBO): nan
Epoch 86 | Loss (ELBO): nan
Epoch 87 | Loss (ELBO): nan
Epoch 88 | Loss (ELBO): nan
Epoch 89 | Loss (ELBO): nan
Epoch 90 | Loss (ELBO): nan
Epoch 91 | Loss (ELBO): nan
Epoch 92 | Loss (ELBO): nan
Epoch 93 | Loss (ELBO): nan
Epoch 94 | Loss (ELBO): nan
Epoch 95 | Loss (ELBO): nan
Epoch 96 | Loss (ELBO): nan
Epoch 97 | Loss (ELBO): nan
Epoch 98 | Loss (ELBO): nan
Epoch 99 | Loss (ELBO): nan
Epoch 100 | Loss (ELBO): nan

root mean squared error: nan
mean absolute error: nan
