Reading TRAIN data...
Warning: QT_DEVICE_PIXEL_RATIO is deprecated. Instead use:
    QT_AUTO_SCREEN_SCALE_FACTOR to enable platform plugin controlled per-screen factors.
    QT_SCREEN_SCALE_FACTORS to set per-screen factors.
    QT_SCALE_FACTOR to set the application global scale factor.
non missing values percentage: 60.0 %

Epoch 1 | Loss (ELBO): 463.51123046875
Epoch 2 | Loss (ELBO): 398.00543212890625
Epoch 3 | Loss (ELBO): 6755.64306640625
Epoch 4 | Loss (ELBO): 4978.0439453125
Epoch 5 | Loss (ELBO): 2451.98046875
Epoch 6 | Loss (ELBO): 4024.6611328125
Epoch 7 | Loss (ELBO): 3293.73974609375
Epoch 8 | Loss (ELBO): 3008.27880859375
Epoch 9 | Loss (ELBO): 2942.8544921875
Epoch 10 | Loss (ELBO): 2863.606201171875
Epoch 11 | Loss (ELBO): 3796.38916015625
Epoch 12 | Loss (ELBO): 3583.826171875
Epoch 13 | Loss (ELBO): 4220.6240234375
Epoch 14 | Loss (ELBO): 7162.52197265625
Epoch 15 | Loss (ELBO): 14684.1259765625
Epoch 16 | Loss (ELBO): 15586.0986328125
Epoch 17 | Loss (ELBO): 12241.8115234375
Epoch 18 | Loss (ELBO): 10448.2958984375
Epoch 19 | Loss (ELBO): 11279.54296875
Epoch 20 | Loss (ELBO): 10394.3837890625
Epoch 21 | Loss (ELBO): 9097.6884765625
Epoch 22 | Loss (ELBO): 10410.513671875
Epoch 23 | Loss (ELBO): 10546.8486328125
Epoch 24 | Loss (ELBO): 11668.7529296875
Epoch 25 | Loss (ELBO): 11822.0810546875
Epoch 26 | Loss (ELBO): 12545.8671875
Epoch 27 | Loss (ELBO): 10713.3349609375
Epoch 28 | Loss (ELBO): 9139.0986328125
Epoch 29 | Loss (ELBO): 8519.4482421875
Epoch 30 | Loss (ELBO): 10555.861328125
Epoch 31 | Loss (ELBO): 17364.4609375
Epoch 32 | Loss (ELBO): 28694.416015625
Epoch 33 | Loss (ELBO): 21685.880859375
Epoch 34 | Loss (ELBO): 21386.515625
Epoch 35 | Loss (ELBO): nan
Epoch 36 | Loss (ELBO): nan
Epoch 37 | Loss (ELBO): nan
Epoch 38 | Loss (ELBO): nan
Epoch 39 | Loss (ELBO): nan
Epoch 40 | Loss (ELBO): nan
Epoch 41 | Loss (ELBO): nan
Epoch 42 | Loss (ELBO): nan
Epoch 43 | Loss (ELBO): nan
Epoch 44 | Loss (ELBO): nan
Epoch 45 | Loss (ELBO): nan
Epoch 46 | Loss (ELBO): nan
Epoch 47 | Loss (ELBO): nan
Epoch 48 | Loss (ELBO): nan
Epoch 49 | Loss (ELBO): nan
Epoch 50 | Loss (ELBO): nan
Epoch 51 | Loss (ELBO): nan
Epoch 52 | Loss (ELBO): nan
Epoch 53 | Loss (ELBO): nan
Epoch 54 | Loss (ELBO): nan
Epoch 55 | Loss (ELBO): nan
Epoch 56 | Loss (ELBO): nan
Epoch 57 | Loss (ELBO): nan
Epoch 58 | Loss (ELBO): nan
Epoch 59 | Loss (ELBO): nan
Epoch 60 | Loss (ELBO): nan
Epoch 61 | Loss (ELBO): nan
Epoch 62 | Loss (ELBO): nan
Epoch 63 | Loss (ELBO): nan
Epoch 64 | Loss (ELBO): nan
Epoch 65 | Loss (ELBO): nan
Epoch 66 | Loss (ELBO): nan
Epoch 67 | Loss (ELBO): nan
Epoch 68 | Loss (ELBO): nan
Epoch 69 | Loss (ELBO): nan
Epoch 70 | Loss (ELBO): nan
Epoch 71 | Loss (ELBO): nan
Epoch 72 | Loss (ELBO): nan
Epoch 73 | Loss (ELBO): nan
Epoch 74 | Loss (ELBO): nan
Epoch 75 | Loss (ELBO): nan
Epoch 76 | Loss (ELBO): nan
Epoch 77 | Loss (ELBO): nan
Epoch 78 | Loss (ELBO): nan
Epoch 79 | Loss (ELBO): nan
Epoch 80 | Loss (ELBO): nan
Epoch 81 | Loss (ELBO): nan
Epoch 82 | Loss (ELBO): nan
Epoch 83 | Loss (ELBO): nan
Epoch 84 | Loss (ELBO): nan
Epoch 85 | Loss (ELBO): nan
Epoch 86 | Loss (ELBO): nan
Epoch 87 | Loss (ELBO): nan
Epoch 88 | Loss (ELBO): nan
Epoch 89 | Loss (ELBO): nan
Epoch 90 | Loss (ELBO): nan
Epoch 91 | Loss (ELBO): nan
Epoch 92 | Loss (ELBO): nan
Epoch 93 | Loss (ELBO): nan
Epoch 94 | Loss (ELBO): nan
Epoch 95 | Loss (ELBO): nan
Epoch 96 | Loss (ELBO): nan
Epoch 97 | Loss (ELBO): nan
Epoch 98 | Loss (ELBO): nan
Epoch 99 | Loss (ELBO): nan
Epoch 100 | Loss (ELBO): nan

root mean squared error: 0.185482759121
