Using TensorFlow backend.
2018-02-15 03:27:08.988432: I C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\36\tensorflow\core\platform\cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX

non missing values percentage: 50.0 %

Epoch 1 | Loss (ELBO): 5.065700208059351e+18
Epoch 2 | Loss (ELBO): 1014.5444946289062
Epoch 3 | Loss (ELBO): 858.5255126953125
Epoch 4 | Loss (ELBO): 787.4594116210938
Epoch 5 | Loss (ELBO): 766.2902221679688
Epoch 6 | Loss (ELBO): 783.180908203125
Epoch 7 | Loss (ELBO): 765.4200439453125
Epoch 8 | Loss (ELBO): 764.8822021484375
Epoch 9 | Loss (ELBO): 767.5934448242188
Epoch 10 | Loss (ELBO): 890.0218505859375
Epoch 11 | Loss (ELBO): 821.1534423828125
Epoch 12 | Loss (ELBO): 752.7462158203125
Epoch 13 | Loss (ELBO): 735.29248046875
Epoch 14 | Loss (ELBO): 737.3377685546875
Epoch 15 | Loss (ELBO): 733.346923828125
Epoch 16 | Loss (ELBO): 732.550537109375
Epoch 17 | Loss (ELBO): 729.4035034179688
Epoch 18 | Loss (ELBO): 741.6244506835938
Epoch 19 | Loss (ELBO): 731.4244384765625
Epoch 20 | Loss (ELBO): 722.3765869140625
Epoch 21 | Loss (ELBO): 722.2669677734375
Epoch 22 | Loss (ELBO): 721.9190673828125
Epoch 23 | Loss (ELBO): 722.0418090820312
Epoch 24 | Loss (ELBO): 717.9619750976562
Epoch 25 | Loss (ELBO): 738.1179809570312
Epoch 26 | Loss (ELBO): 723.9024047851562
Epoch 27 | Loss (ELBO): 718.0223999023438
Epoch 28 | Loss (ELBO): 731.5440063476562
Epoch 29 | Loss (ELBO): 14923.79296875
Epoch 30 | Loss (ELBO): 5496.2373046875
Epoch 31 | Loss (ELBO): 10710.8544921875
Epoch 32 | Loss (ELBO): 2472.622314453125
Epoch 33 | Loss (ELBO): 5467.146484375
Epoch 34 | Loss (ELBO): 3513.3818359375
Epoch 35 | Loss (ELBO): 1942.320068359375
Epoch 36 | Loss (ELBO): 1810.9776611328125
Epoch 37 | Loss (ELBO): 1621.977294921875
Epoch 38 | Loss (ELBO): 1530.835693359375
Epoch 39 | Loss (ELBO): 1817.26611328125
Epoch 40 | Loss (ELBO): 4225.64111328125
Epoch 41 | Loss (ELBO): 2111.75439453125
Epoch 42 | Loss (ELBO): 3061.02197265625
Epoch 43 | Loss (ELBO): 2252.068359375
Epoch 44 | Loss (ELBO): 2192.398681640625
Epoch 45 | Loss (ELBO): 1983.8955078125
Epoch 46 | Loss (ELBO): 2819.22705078125
Epoch 47 | Loss (ELBO): 2146.258056640625
Epoch 48 | Loss (ELBO): 1953.5318603515625
Epoch 49 | Loss (ELBO): 9073.486328125
Epoch 50 | Loss (ELBO): 2209.47900390625
Epoch 51 | Loss (ELBO): 2338.68359375
Epoch 52 | Loss (ELBO): 2076.745361328125
Epoch 53 | Loss (ELBO): 1948.493896484375
Epoch 54 | Loss (ELBO): 1875.860107421875
Epoch 55 | Loss (ELBO): 1848.093994140625
Epoch 56 | Loss (ELBO): 1815.094482421875
Epoch 57 | Loss (ELBO): 1796.1800537109375
Epoch 58 | Loss (ELBO): 1777.13818359375
Epoch 59 | Loss (ELBO): 1774.0169677734375
Epoch 60 | Loss (ELBO): 1728.4068603515625
Epoch 61 | Loss (ELBO): 1681.406494140625
Epoch 62 | Loss (ELBO): 1635.135986328125
Epoch 63 | Loss (ELBO): 1597.72607421875
Epoch 64 | Loss (ELBO): 1600.335205078125
Epoch 65 | Loss (ELBO): 1559.263427734375
Epoch 66 | Loss (ELBO): 1547.61376953125
Epoch 67 | Loss (ELBO): 1519.625732421875
Epoch 68 | Loss (ELBO): 1527.428955078125
Epoch 69 | Loss (ELBO): 1511.8209228515625
Epoch 70 | Loss (ELBO): 1597.4150390625
Epoch 71 | Loss (ELBO): 1565.60107421875
Epoch 72 | Loss (ELBO): 1500.8380126953125
Epoch 73 | Loss (ELBO): 1457.6268310546875
Epoch 74 | Loss (ELBO): 1448.8056640625
Epoch 75 | Loss (ELBO): 1449.539794921875
Epoch 76 | Loss (ELBO): 1463.4052734375
Epoch 77 | Loss (ELBO): 1429.241943359375
Epoch 78 | Loss (ELBO): 1431.01025390625
Epoch 79 | Loss (ELBO): 1436.4755859375
Epoch 80 | Loss (ELBO): 1427.083740234375
Epoch 81 | Loss (ELBO): 1413.111572265625
Epoch 82 | Loss (ELBO): 1408.901123046875
Epoch 83 | Loss (ELBO): 1430.664794921875
Epoch 84 | Loss (ELBO): 1430.30029296875
Epoch 85 | Loss (ELBO): 1454.118408203125
Epoch 86 | Loss (ELBO): 1424.1885986328125
Epoch 87 | Loss (ELBO): 1400.20556640625
Epoch 88 | Loss (ELBO): 1402.1915283203125
Epoch 89 | Loss (ELBO): 1380.4560546875
Epoch 90 | Loss (ELBO): 1380.731201171875
Epoch 91 | Loss (ELBO): 1390.36083984375
Epoch 92 | Loss (ELBO): 1355.4111328125
Epoch 93 | Loss (ELBO): 1351.055419921875
Epoch 94 | Loss (ELBO): 1346.4205322265625
Epoch 95 | Loss (ELBO): 1347.1741943359375
Epoch 96 | Loss (ELBO): 1358.358642578125
Epoch 97 | Loss (ELBO): 1331.840087890625
Epoch 98 | Loss (ELBO): 1347.879150390625
Epoch 99 | Loss (ELBO): 1350.9453125
Epoch 100 | Loss (ELBO): 1389.359375
Epoch 101 | Loss (ELBO): 10090.5791015625
Epoch 102 | Loss (ELBO): 15120.08203125
Epoch 103 | Loss (ELBO): 4708.58935546875
Epoch 104 | Loss (ELBO): 3973.88427734375
Epoch 105 | Loss (ELBO): 2232.6904296875
Epoch 106 | Loss (ELBO): 1906.5382080078125
Epoch 107 | Loss (ELBO): 1731.48974609375
Epoch 108 | Loss (ELBO): 1727.439453125
Epoch 109 | Loss (ELBO): 1579.267578125
Epoch 110 | Loss (ELBO): 1571.150390625
Epoch 111 | Loss (ELBO): 1607.9605712890625
Epoch 112 | Loss (ELBO): 1563.05615234375
Epoch 113 | Loss (ELBO): 1549.64599609375
Epoch 114 | Loss (ELBO): 1517.5068359375
Epoch 115 | Loss (ELBO): 1483.7197265625
Epoch 116 | Loss (ELBO): 1575.243408203125
Epoch 117 | Loss (ELBO): 1514.401123046875
Epoch 118 | Loss (ELBO): 1479.34326171875
Epoch 119 | Loss (ELBO): 1499.91650390625
Epoch 120 | Loss (ELBO): 1488.7957763671875
Epoch 121 | Loss (ELBO): 1449.771728515625
Epoch 122 | Loss (ELBO): 1461.40576171875
Epoch 123 | Loss (ELBO): 1534.40673828125
Epoch 124 | Loss (ELBO): 1535.2476806640625
Epoch 125 | Loss (ELBO): 1456.0372314453125
Epoch 126 | Loss (ELBO): 1510.0626220703125
