Extracting ../../MNIST_dataset\train-images-idx3-ubyte.gz
Extracting ../../MNIST_dataset\train-labels-idx1-ubyte.gz
Extracting ../../MNIST_dataset\t10k-images-idx3-ubyte.gz
Extracting ../../MNIST_dataset\t10k-labels-idx1-ubyte.gz

non missing values percentage: 60.0 %

Epoch 1 | Loss (ELBO): 974.23388671875
Epoch 2 | Loss (ELBO): 3434.86083984375
Epoch 3 | Loss (ELBO): 659.8421020507812
Epoch 4 | Loss (ELBO): 1164.13330078125
Epoch 5 | Loss (ELBO): 553.0869140625
Epoch 6 | Loss (ELBO): 646.6561279296875
Epoch 7 | Loss (ELBO): 465.630859375
Epoch 8 | Loss (ELBO): 511.1309509277344
Epoch 9 | Loss (ELBO): 480.1479187011719
Epoch 10 | Loss (ELBO): 544.0140380859375
Epoch 11 | Loss (ELBO): 484.3202819824219
Epoch 12 | Loss (ELBO): 588.555419921875
Epoch 13 | Loss (ELBO): 447.5201416015625
Epoch 14 | Loss (ELBO): 560.5426025390625
Epoch 15 | Loss (ELBO): 470.9393005371094
Epoch 16 | Loss (ELBO): 883.7816162109375
Epoch 17 | Loss (ELBO): 451.7220458984375
Epoch 18 | Loss (ELBO): 488.15252685546875
Epoch 19 | Loss (ELBO): 482.521484375
Epoch 20 | Loss (ELBO): 418.0917053222656
Epoch 21 | Loss (ELBO): 392.8081359863281
Epoch 22 | Loss (ELBO): 393.92401123046875
Epoch 23 | Loss (ELBO): 383.15283203125
Epoch 24 | Loss (ELBO): 397.25982666015625
Epoch 25 | Loss (ELBO): 381.725830078125
Epoch 26 | Loss (ELBO): 378.1421203613281
Epoch 27 | Loss (ELBO): 365.6147766113281
Epoch 28 | Loss (ELBO): 366.61083984375
Epoch 29 | Loss (ELBO): 352.1787109375
Epoch 30 | Loss (ELBO): 348.5592041015625
Epoch 31 | Loss (ELBO): 346.08160400390625
Epoch 32 | Loss (ELBO): 335.22674560546875
Epoch 33 | Loss (ELBO): 335.610107421875
Epoch 34 | Loss (ELBO): 332.3387451171875
Epoch 35 | Loss (ELBO): 327.98553466796875
Epoch 36 | Loss (ELBO): 325.51910400390625
Epoch 37 | Loss (ELBO): 316.37420654296875
Epoch 38 | Loss (ELBO): 317.3454895019531
Epoch 39 | Loss (ELBO): 309.5654602050781
Epoch 40 | Loss (ELBO): 310.4507751464844
Epoch 41 | Loss (ELBO): 301.4309997558594
Epoch 42 | Loss (ELBO): 302.8343811035156
Epoch 43 | Loss (ELBO): 298.3157958984375
