number of users: 943
number of movies: 1682

non missing values percentage: 6.304669364224531 %

Epoch 1 | Loss (ELBO): 2.5692662040195236e+18
Epoch 2 | Loss (ELBO): 1.6498594352557578e+28
Epoch 3 | Loss (ELBO): 2.4164476690670234e+24
Epoch 4 | Loss (ELBO): 7.822207509101249e+24
Epoch 5 | Loss (ELBO): 3.263928849992516e+24
Epoch 6 | Loss (ELBO): 9.726837869937026e+24
Epoch 7 | Loss (ELBO): 4.866346779129462e+24
Epoch 8 | Loss (ELBO): 4.970883901334422e+24
Epoch 9 | Loss (ELBO): 8.008434884515127e+24
Epoch 10 | Loss (ELBO): 4.236333399397803e+24
Epoch 11 | Loss (ELBO): 4.497965011747106e+24
Epoch 12 | Loss (ELBO): 2.1732022724124377e+24
Epoch 13 | Loss (ELBO): 3.2686010643899353e+24
Epoch 14 | Loss (ELBO): 2.137287758737618e+24
Epoch 15 | Loss (ELBO): 3.538752190197531e+24
Epoch 16 | Loss (ELBO): 2.35087742022033e+24
Epoch 17 | Loss (ELBO): 1.9699520109830398e+24
Epoch 18 | Loss (ELBO): 1.8666880023495421e+24
Epoch 19 | Loss (ELBO): 2.563794496120292e+24
Epoch 20 | Loss (ELBO): 1.818712344469466e+24
Epoch 21 | Loss (ELBO): 5.607151952286167e+23
Epoch 22 | Loss (ELBO): 1.7218852407113764e+24
Epoch 23 | Loss (ELBO): 2.564755744424758e+24
Epoch 24 | Loss (ELBO): 1.629992496877816e+24
Epoch 25 | Loss (ELBO): 2.983830893903925e+24
Epoch 26 | Loss (ELBO): 1.9376199126534096e+24
Epoch 27 | Loss (ELBO): 2.0655946320103338e+24
Epoch 28 | Loss (ELBO): 2.1348045099318828e+24
Epoch 29 | Loss (ELBO): 1.0975376775413254e+24
Epoch 30 | Loss (ELBO): 1.4795894190310225e+24
Epoch 31 | Loss (ELBO): 7.937094263537876e+23
Epoch 32 | Loss (ELBO): 9.698282021880547e+23
Epoch 33 | Loss (ELBO): 1.0478548311433025e+24
Epoch 34 | Loss (ELBO): 7.602392503839224e+23
Epoch 35 | Loss (ELBO): 4.245897892084833e+23
Epoch 36 | Loss (ELBO): 6.098665808418128e+23
Epoch 37 | Loss (ELBO): 5.8659965210132716e+23
Epoch 38 | Loss (ELBO): 5.128446693782418e+23
Epoch 39 | Loss (ELBO): 4.962675316394403e+23
Epoch 40 | Loss (ELBO): 3.3604667866257313e+23
Epoch 41 | Loss (ELBO): 3.4504782507941494e+23
Epoch 42 | Loss (ELBO): 2.9164817592332172e+23
Epoch 43 | Loss (ELBO): 3.5229029782737006e+23
Epoch 44 | Loss (ELBO): 3.8182447183810154e+23
Epoch 45 | Loss (ELBO): 2.6002609709654426e+23
Epoch 46 | Loss (ELBO): 3.936673896198141e+23
Epoch 47 | Loss (ELBO): 4.513345777252096e+23
Epoch 48 | Loss (ELBO): 5.107054055120453e+22
Epoch 49 | Loss (ELBO): 2.9775838968176037e+23
Epoch 50 | Loss (ELBO): 1.3956663351700496e+23
Epoch 51 | Loss (ELBO): 3.069275924222971e+23
Epoch 52 | Loss (ELBO): 7.270659877302904e+22
Epoch 53 | Loss (ELBO): 8.685476508880451e+22
Epoch 54 | Loss (ELBO): 1.4422164416384766e+23
Epoch 55 | Loss (ELBO): 1.6227719656672455e+23
Epoch 56 | Loss (ELBO): 3.562864543667266e+22
Epoch 57 | Loss (ELBO): 1.069679310966337e+23
Epoch 58 | Loss (ELBO): 4.8631616173002036e+22
Epoch 59 | Loss (ELBO): 7.582684571725865e+22
Epoch 60 | Loss (ELBO): 5.826059139949705e+22
Epoch 61 | Loss (ELBO): 7.133992291930831e+22
Epoch 62 | Loss (ELBO): 6.2061503384208185e+22
Epoch 63 | Loss (ELBO): 9.251755523146316e+22
Epoch 64 | Loss (ELBO): 7.199794836446304e+22
Epoch 65 | Loss (ELBO): 6.40286396726466e+22
Epoch 66 | Loss (ELBO): 6.328623028127383e+22
Epoch 67 | Loss (ELBO): 5.618769257740947e+22
Epoch 68 | Loss (ELBO): 5.053399970599812e+22
Epoch 69 | Loss (ELBO): 5.471725378827412e+22
Epoch 70 | Loss (ELBO): 5.046846782782025e+22
Epoch 71 | Loss (ELBO): 6.28612300880385e+22
Epoch 72 | Loss (ELBO): 3.532082215034207e+22
Epoch 73 | Loss (ELBO): 6.233771815655407e+22
Epoch 74 | Loss (ELBO): 2.61738311631675e+22
Epoch 75 | Loss (ELBO): 2.8098379161729684e+22
Epoch 76 | Loss (ELBO): 3.020158720930947e+22
Epoch 77 | Loss (ELBO): 3.346025679168594e+22
Epoch 78 | Loss (ELBO): 3.1522790217592642e+22
Epoch 79 | Loss (ELBO): 2.2837753710395785e+22
Epoch 80 | Loss (ELBO): 2.172560779681515e+22
Epoch 81 | Loss (ELBO): 1.4124841047405411e+22
Epoch 82 | Loss (ELBO): 1.5435852409731845e+22
Epoch 83 | Loss (ELBO): 1.1634036327395518e+22
Epoch 84 | Loss (ELBO): 2.170449041816241e+22
Epoch 85 | Loss (ELBO): 8.554106732930035e+21
Epoch 86 | Loss (ELBO): 5.283458138494713e+21
Epoch 87 | Loss (ELBO): 6.760217729707077e+21
Epoch 88 | Loss (ELBO): 1.6755452136547674e+22
Epoch 89 | Loss (ELBO): 1.2493480762284767e+22
Epoch 90 | Loss (ELBO): 6.241521272124214e+21
Epoch 91 | Loss (ELBO): 6.832878946832561e+20
Epoch 92 | Loss (ELBO): 1.2566337745256553e+22
Epoch 93 | Loss (ELBO): 6.195856460752538e+21
Epoch 94 | Loss (ELBO): 3.482912533547525e+21
Epoch 95 | Loss (ELBO): 2.3088870203493313e+21
Epoch 96 | Loss (ELBO): 2.2172632562553156e+21
Epoch 97 | Loss (ELBO): 1.228577474747044e+21
