non missing values percentage: 60.0 %

Epoch 1 | Loss (ELBO): 925.9225463867188
Epoch 2 | Loss (ELBO): 144494.578125
Epoch 3 | Loss (ELBO): 587.9775390625
Epoch 4 | Loss (ELBO): 4723.8193359375
Epoch 5 | Loss (ELBO): 855.9996337890625
Epoch 6 | Loss (ELBO): 819.8518676757812
Epoch 7 | Loss (ELBO): 546.8455810546875
Epoch 8 | Loss (ELBO): 612.7803955078125
Epoch 9 | Loss (ELBO): 501.61053466796875
Epoch 10 | Loss (ELBO): 660.211669921875
Epoch 11 | Loss (ELBO): 511.0208740234375
Epoch 12 | Loss (ELBO): 929.6512451171875
Epoch 13 | Loss (ELBO): 489.83367919921875
Epoch 14 | Loss (ELBO): 688.9164428710938
Epoch 15 | Loss (ELBO): 478.287841796875
Epoch 16 | Loss (ELBO): 1206.4884033203125
Epoch 17 | Loss (ELBO): 505.2124328613281
Epoch 18 | Loss (ELBO): 1524.2421875
Epoch 19 | Loss (ELBO): 737.4046630859375
Epoch 20 | Loss (ELBO): 536.4622802734375
Epoch 21 | Loss (ELBO): 402.0242919921875
Epoch 22 | Loss (ELBO): 394.6686096191406
Epoch 23 | Loss (ELBO): 391.99652099609375
Epoch 24 | Loss (ELBO): 429.2061767578125
Epoch 25 | Loss (ELBO): 449.194580078125
Epoch 26 | Loss (ELBO): 396.90478515625
Epoch 27 | Loss (ELBO): 455.42608642578125
Epoch 28 | Loss (ELBO): 431.61199951171875
Epoch 29 | Loss (ELBO): 390.2608642578125
Epoch 30 | Loss (ELBO): 391.42706298828125
Epoch 31 | Loss (ELBO): 406.54302978515625
Epoch 32 | Loss (ELBO): 399.9339599609375
Epoch 33 | Loss (ELBO): 394.81304931640625
Epoch 34 | Loss (ELBO): 390.75140380859375
Epoch 35 | Loss (ELBO): 399.418212890625
Epoch 36 | Loss (ELBO): 385.9342346191406
Epoch 37 | Loss (ELBO): 374.8375244140625
Epoch 38 | Loss (ELBO): 373.39190673828125
Epoch 39 | Loss (ELBO): 363.8441162109375
Epoch 40 | Loss (ELBO): 367.42462158203125
Epoch 41 | Loss (ELBO): 366.06982421875
Epoch 42 | Loss (ELBO): 359.4928894042969
Epoch 43 | Loss (ELBO): 369.02032470703125
Epoch 44 | Loss (ELBO): 365.87408447265625
Epoch 45 | Loss (ELBO): 352.2816162109375
Epoch 46 | Loss (ELBO): 358.1529235839844
Epoch 47 | Loss (ELBO): 350.88079833984375
Epoch 48 | Loss (ELBO): 341.9920654296875
Epoch 49 | Loss (ELBO): 347.62152099609375
Epoch 50 | Loss (ELBO): 336.69757080078125
Epoch 51 | Loss (ELBO): 332.41546630859375
Epoch 52 | Loss (ELBO): 336.47503662109375
Epoch 53 | Loss (ELBO): 329.84814453125
Epoch 54 | Loss (ELBO): 323.766357421875
Epoch 55 | Loss (ELBO): 322.6198425292969
Epoch 56 | Loss (ELBO): 321.54058837890625
Epoch 57 | Loss (ELBO): 317.6899108886719
Epoch 58 | Loss (ELBO): 316.96343994140625
Epoch 59 | Loss (ELBO): 313.80303955078125
Epoch 60 | Loss (ELBO): 317.8416442871094
Epoch 61 | Loss (ELBO): 310.7373046875
Epoch 62 | Loss (ELBO): 308.89532470703125
Epoch 63 | Loss (ELBO): 310.5379638671875
Epoch 64 | Loss (ELBO): 308.87579345703125
Epoch 65 | Loss (ELBO): 301.6961975097656
Epoch 66 | Loss (ELBO): 306.535400390625
Epoch 67 | Loss (ELBO): 301.951416015625
Epoch 68 | Loss (ELBO): 299.61322021484375
Epoch 69 | Loss (ELBO): 294.4236755371094
Epoch 70 | Loss (ELBO): 298.2598876953125
Epoch 71 | Loss (ELBO): 293.73779296875
Epoch 72 | Loss (ELBO): 290.8492126464844
Epoch 73 | Loss (ELBO): 289.730712890625
Epoch 74 | Loss (ELBO): 288.0231018066406
Epoch 75 | Loss (ELBO): 283.4512023925781
Epoch 76 | Loss (ELBO): 283.16851806640625
Epoch 77 | Loss (ELBO): 285.2848815917969
Epoch 78 | Loss (ELBO): 282.29638671875
Epoch 79 | Loss (ELBO): 278.72503662109375
Epoch 80 | Loss (ELBO): 276.6047668457031
Epoch 81 | Loss (ELBO): 278.18902587890625
Epoch 82 | Loss (ELBO): 276.69384765625
Epoch 83 | Loss (ELBO): 274.72186279296875
Epoch 84 | Loss (ELBO): 272.340087890625
Epoch 85 | Loss (ELBO): 272.9189147949219
Epoch 86 | Loss (ELBO): 269.5062255859375
Epoch 87 | Loss (ELBO): 270.9735412597656
Epoch 88 | Loss (ELBO): 265.6387634277344
Epoch 89 | Loss (ELBO): 267.00347900390625
Epoch 90 | Loss (ELBO): 266.08197021484375
Epoch 91 | Loss (ELBO): 265.8477783203125
Epoch 92 | Loss (ELBO): 260.66778564453125
Epoch 93 | Loss (ELBO): 261.81085205078125
Epoch 94 | Loss (ELBO): 259.055908203125
Epoch 95 | Loss (ELBO): 258.93988037109375
Epoch 96 | Loss (ELBO): 258.4910888671875
Epoch 97 | Loss (ELBO): 255.10330200195312
Epoch 98 | Loss (ELBO): 256.86810302734375
Epoch 99 | Loss (ELBO): 251.87782287597656
Epoch 100 | Loss (ELBO): 253.0989990234375
training time: 254.4763400554657

root mean squared error: 0.160895404355
mean absolute error: 0.0504878221194
