non missing values percentage: 60.0 %

Epoch 1 | Loss (ELBO): 1071.380126953125
Epoch 2 | Loss (ELBO): 13472.16796875
Epoch 3 | Loss (ELBO): 566.1727905273438
Epoch 4 | Loss (ELBO): 2753.59716796875
Epoch 5 | Loss (ELBO): 710.5706787109375
Epoch 6 | Loss (ELBO): 595.0335693359375
Epoch 7 | Loss (ELBO): 491.8701477050781
Epoch 8 | Loss (ELBO): 572.2767333984375
Epoch 9 | Loss (ELBO): 506.18646240234375
Epoch 10 | Loss (ELBO): 745.337890625
Epoch 11 | Loss (ELBO): 533.6138305664062
Epoch 12 | Loss (ELBO): 893.036865234375
Epoch 13 | Loss (ELBO): 714.5397338867188
Epoch 14 | Loss (ELBO): 482.4560546875
Epoch 15 | Loss (ELBO): 729.8211669921875
Epoch 16 | Loss (ELBO): 467.44036865234375
Epoch 17 | Loss (ELBO): 794.5645751953125
Epoch 18 | Loss (ELBO): 791.5338134765625
Epoch 19 | Loss (ELBO): 443.66363525390625
Epoch 20 | Loss (ELBO): 528.4833374023438
Epoch 21 | Loss (ELBO): 467.04058837890625
Epoch 22 | Loss (ELBO): 353.79656982421875
Epoch 23 | Loss (ELBO): 371.36883544921875
Epoch 24 | Loss (ELBO): 377.44647216796875
Epoch 25 | Loss (ELBO): 364.7418212890625
Epoch 26 | Loss (ELBO): 363.95220947265625
Epoch 27 | Loss (ELBO): 359.19146728515625
Epoch 28 | Loss (ELBO): 358.24407958984375
Epoch 29 | Loss (ELBO): 351.0946350097656
Epoch 30 | Loss (ELBO): 340.19683837890625
Epoch 31 | Loss (ELBO): 330.527099609375
Epoch 32 | Loss (ELBO): 331.6250305175781
Epoch 33 | Loss (ELBO): 332.99041748046875
Epoch 34 | Loss (ELBO): 323.1751403808594
Epoch 35 | Loss (ELBO): 319.6581726074219
Epoch 36 | Loss (ELBO): 320.86798095703125
Epoch 37 | Loss (ELBO): 315.9707336425781
Epoch 38 | Loss (ELBO): 314.542724609375
Epoch 39 | Loss (ELBO): 314.23486328125
Epoch 40 | Loss (ELBO): 303.0522766113281
Epoch 41 | Loss (ELBO): 294.6031799316406
Epoch 42 | Loss (ELBO): 292.2629699707031
Epoch 43 | Loss (ELBO): 292.1125793457031
Epoch 44 | Loss (ELBO): 287.658447265625
Epoch 45 | Loss (ELBO): 281.24298095703125
Epoch 46 | Loss (ELBO): 278.32550048828125
Epoch 47 | Loss (ELBO): 279.62933349609375
Epoch 48 | Loss (ELBO): 280.30279541015625
Epoch 49 | Loss (ELBO): 276.68548583984375
Epoch 50 | Loss (ELBO): 274.3989562988281
Epoch 51 | Loss (ELBO): 274.8775329589844
Epoch 52 | Loss (ELBO): 269.8738708496094
Epoch 53 | Loss (ELBO): 265.1478271484375
Epoch 54 | Loss (ELBO): 268.9058532714844
Epoch 55 | Loss (ELBO): 262.1136779785156
Epoch 56 | Loss (ELBO): 261.6385192871094
Epoch 57 | Loss (ELBO): 261.3175964355469
Epoch 58 | Loss (ELBO): 257.3158264160156
Epoch 59 | Loss (ELBO): 257.65966796875
Epoch 60 | Loss (ELBO): 254.41455078125
Epoch 61 | Loss (ELBO): 253.7664794921875
Epoch 62 | Loss (ELBO): 252.9807586669922
Epoch 63 | Loss (ELBO): 251.5547637939453
Epoch 64 | Loss (ELBO): 248.66680908203125
Epoch 65 | Loss (ELBO): 248.41839599609375
Epoch 66 | Loss (ELBO): 249.18907165527344
Epoch 67 | Loss (ELBO): 246.38031005859375
Epoch 68 | Loss (ELBO): 244.43722534179688
Epoch 69 | Loss (ELBO): 241.90451049804688
Epoch 70 | Loss (ELBO): 243.39511108398438
Epoch 71 | Loss (ELBO): 240.72686767578125
Epoch 72 | Loss (ELBO): 240.84642028808594
Epoch 73 | Loss (ELBO): 239.25650024414062
Epoch 74 | Loss (ELBO): 236.16159057617188
Epoch 75 | Loss (ELBO): 235.7132568359375
Epoch 76 | Loss (ELBO): 236.54757690429688
Epoch 77 | Loss (ELBO): 234.31448364257812
Epoch 78 | Loss (ELBO): 232.73968505859375
Epoch 79 | Loss (ELBO): 230.69189453125
Epoch 80 | Loss (ELBO): 230.1412353515625
Epoch 81 | Loss (ELBO): 230.59814453125
Epoch 82 | Loss (ELBO): 228.90904235839844
Epoch 83 | Loss (ELBO): 230.22283935546875
Epoch 84 | Loss (ELBO): 228.1456756591797
Epoch 85 | Loss (ELBO): 226.09954833984375
Epoch 86 | Loss (ELBO): 226.20767211914062
Epoch 87 | Loss (ELBO): 226.55517578125
Epoch 88 | Loss (ELBO): 226.36900329589844
Epoch 89 | Loss (ELBO): 223.78875732421875
Epoch 90 | Loss (ELBO): 222.51605224609375
Epoch 91 | Loss (ELBO): 223.75364685058594
Epoch 92 | Loss (ELBO): 221.6905517578125
Epoch 93 | Loss (ELBO): 221.79019165039062
Epoch 94 | Loss (ELBO): 220.62969970703125
Epoch 95 | Loss (ELBO): 220.73455810546875
Epoch 96 | Loss (ELBO): 220.2891082763672
Epoch 97 | Loss (ELBO): 215.87667846679688
Epoch 98 | Loss (ELBO): 216.85415649414062
Epoch 99 | Loss (ELBO): 219.72007751464844
Epoch 100 | Loss (ELBO): 218.58392333984375
training time: 245.6619257926941

root mean squared error: 0.162737553068
mean absolute error: 0.0524327812139
