Reading TRAIN data...

Warning: QT_DEVICE_PIXEL_RATIO is deprecated. Instead use:
    QT_AUTO_SCREEN_SCALE_FACTOR to enable platform plugin controlled per-screen factors.
    QT_SCREEN_SCALE_FACTORS to set per-screen factors.
    QT_SCALE_FACTOR to set the application global scale factor.
non missing values percentage: 60.0 %
Initializing parameters

Epoch 1 | Loss (ELBO): 387.2854919433594
Epoch 2 | Loss (ELBO): 354.5700378417969
Epoch 3 | Loss (ELBO): 323.686767578125
Epoch 4 | Loss (ELBO): 315.965576171875
Epoch 5 | Loss (ELBO): 301.0453796386719
Epoch 6 | Loss (ELBO): 295.413330078125
Epoch 7 | Loss (ELBO): 277.01953125
Epoch 8 | Loss (ELBO): 270.2757873535156
Epoch 9 | Loss (ELBO): 265.69110107421875
Epoch 10 | Loss (ELBO): 254.78050231933594
Epoch 11 | Loss (ELBO): 245.03623962402344
Epoch 12 | Loss (ELBO): 236.60125732421875
Epoch 13 | Loss (ELBO): 232.60604858398438
Epoch 14 | Loss (ELBO): 226.3334197998047
Epoch 15 | Loss (ELBO): 224.14816284179688
Epoch 16 | Loss (ELBO): 221.78433227539062
Epoch 17 | Loss (ELBO): 219.4012908935547
Epoch 18 | Loss (ELBO): 217.2377471923828
Epoch 19 | Loss (ELBO): 215.84927368164062
Epoch 20 | Loss (ELBO): 214.93862915039062
Epoch 21 | Loss (ELBO): 212.221435546875
Epoch 22 | Loss (ELBO): 211.65589904785156
Epoch 23 | Loss (ELBO): 210.53880310058594
Epoch 24 | Loss (ELBO): 209.6953887939453
Epoch 25 | Loss (ELBO): 208.4718017578125
Epoch 26 | Loss (ELBO): 206.44558715820312
Epoch 27 | Loss (ELBO): 205.26608276367188
Epoch 28 | Loss (ELBO): 204.1374053955078
Epoch 29 | Loss (ELBO): 201.78524780273438
Epoch 30 | Loss (ELBO): 199.01039123535156
Epoch 31 | Loss (ELBO): 198.49195861816406
Epoch 32 | Loss (ELBO): 197.9753875732422
Epoch 33 | Loss (ELBO): 197.00692749023438
Epoch 34 | Loss (ELBO): 196.0591278076172
Epoch 35 | Loss (ELBO): 196.3131103515625
Epoch 36 | Loss (ELBO): 196.8662567138672
Epoch 37 | Loss (ELBO): 197.05929565429688
Epoch 38 | Loss (ELBO): 196.87200927734375
Epoch 39 | Loss (ELBO): 195.22314453125
Epoch 40 | Loss (ELBO): 196.3141632080078
Epoch 41 | Loss (ELBO): 195.31517028808594
Epoch 42 | Loss (ELBO): 195.54478454589844
Epoch 43 | Loss (ELBO): 194.09593200683594
Epoch 44 | Loss (ELBO): 195.25222778320312
Epoch 45 | Loss (ELBO): 195.28953552246094
Epoch 46 | Loss (ELBO): 195.4383544921875
Epoch 47 | Loss (ELBO): 194.42054748535156
Epoch 48 | Loss (ELBO): 194.51914978027344
Epoch 49 | Loss (ELBO): 193.65550231933594
Epoch 50 | Loss (ELBO): 193.86570739746094
Epoch 51 | Loss (ELBO): 191.92337036132812
Epoch 52 | Loss (ELBO): 192.02122497558594
Epoch 53 | Loss (ELBO): 191.84048461914062
Epoch 54 | Loss (ELBO): 192.10350036621094
Epoch 55 | Loss (ELBO): 192.73228454589844
Epoch 56 | Loss (ELBO): 191.79307556152344
Epoch 57 | Loss (ELBO): 192.2399444580078
Epoch 58 | Loss (ELBO): 192.51280212402344
Epoch 59 | Loss (ELBO): 193.49969482421875
Epoch 60 | Loss (ELBO): 193.42408752441406
Epoch 61 | Loss (ELBO): 193.2490997314453
Epoch 62 | Loss (ELBO): 192.71974182128906
Epoch 63 | Loss (ELBO): 192.75247192382812
Epoch 64 | Loss (ELBO): 193.33709716796875
Epoch 65 | Loss (ELBO): 193.1005401611328
Epoch 66 | Loss (ELBO): 192.32705688476562
Epoch 67 | Loss (ELBO): 192.67808532714844
Epoch 68 | Loss (ELBO): 192.88990783691406
Epoch 69 | Loss (ELBO): 193.28546142578125
Epoch 70 | Loss (ELBO): 192.53802490234375
Epoch 71 | Loss (ELBO): 192.0391387939453
Epoch 72 | Loss (ELBO): 192.36524963378906
Epoch 73 | Loss (ELBO): 192.50164794921875
Epoch 74 | Loss (ELBO): 191.12640380859375
Epoch 75 | Loss (ELBO): 191.79635620117188
Epoch 76 | Loss (ELBO): 192.5637664794922
Epoch 77 | Loss (ELBO): 192.7659149169922
Epoch 78 | Loss (ELBO): 191.4191436767578
Epoch 79 | Loss (ELBO): 192.86355590820312
Epoch 80 | Loss (ELBO): 191.69110107421875
Epoch 81 | Loss (ELBO): 191.23477172851562
Epoch 82 | Loss (ELBO): 192.86888122558594
Epoch 83 | Loss (ELBO): 193.8950958251953
Epoch 84 | Loss (ELBO): 193.33665466308594
Epoch 85 | Loss (ELBO): 192.248779296875
Epoch 86 | Loss (ELBO): 191.4940948486328
Epoch 87 | Loss (ELBO): 191.2626190185547
Epoch 88 | Loss (ELBO): 192.1953582763672
Epoch 89 | Loss (ELBO): 193.19699096679688
Epoch 90 | Loss (ELBO): 192.8491668701172
Epoch 91 | Loss (ELBO): 193.3181915283203
Epoch 92 | Loss (ELBO): 193.2936553955078
Epoch 93 | Loss (ELBO): 192.8878936767578
Epoch 94 | Loss (ELBO): 192.36863708496094
Epoch 95 | Loss (ELBO): 192.80343627929688
Epoch 96 | Loss (ELBO): 193.12371826171875
Epoch 97 | Loss (ELBO): 192.0656280517578
Epoch 98 | Loss (ELBO): 192.0436553955078
Epoch 99 | Loss (ELBO): 191.96563720703125
Epoch 100 | Loss (ELBO): 191.06544494628906

root mean squared error: 0.180393621989
