Using TensorFlow backend.

non missing values percentage: 60.00510030601836 %
Initializing parameters

Epoch 1 | Loss (ELBO): 703.390380859375
Warning: QT_DEVICE_PIXEL_RATIO is deprecated. Instead use:
    QT_AUTO_SCREEN_SCALE_FACTOR to enable platform plugin controlled per-screen factors.
    QT_SCREEN_SCALE_FACTORS to set per-screen factors.
    QT_SCALE_FACTOR to set the application global scale factor.
Epoch 2 | Loss (ELBO): 695.3421020507812
Epoch 3 | Loss (ELBO): 686.7140502929688
Epoch 4 | Loss (ELBO): 678.7525634765625
Epoch 5 | Loss (ELBO): 675.0562744140625
Epoch 6 | Loss (ELBO): 670.5087890625
Epoch 7 | Loss (ELBO): 669.9974975585938
Epoch 8 | Loss (ELBO): 669.3004760742188
Epoch 9 | Loss (ELBO): 667.3548583984375
Epoch 10 | Loss (ELBO): 667.0117797851562
Epoch 11 | Loss (ELBO): 665.7426147460938
Epoch 12 | Loss (ELBO): 666.3646240234375
Epoch 13 | Loss (ELBO): 666.6456298828125
Epoch 14 | Loss (ELBO): 725.5185546875
Epoch 15 | Loss (ELBO): 716.6094970703125
Epoch 16 | Loss (ELBO): 714.3159790039062
Epoch 17 | Loss (ELBO): 706.9083862304688
Epoch 18 | Loss (ELBO): 708.5433959960938
Epoch 19 | Loss (ELBO): 708.1831665039062
Epoch 20 | Loss (ELBO): 708.4487915039062
Epoch 21 | Loss (ELBO): 707.4727783203125
Epoch 22 | Loss (ELBO): 707.5043334960938
Epoch 23 | Loss (ELBO): 707.7659912109375
Epoch 24 | Loss (ELBO): 708.1111450195312
Epoch 25 | Loss (ELBO): 707.6563720703125
Epoch 26 | Loss (ELBO): 707.27392578125
Epoch 27 | Loss (ELBO): 707.3423461914062
Epoch 28 | Loss (ELBO): 707.5503540039062
Epoch 29 | Loss (ELBO): 707.1642456054688
Epoch 30 | Loss (ELBO): 707.2654418945312
Epoch 31 | Loss (ELBO): 708.353515625
Epoch 32 | Loss (ELBO): 706.5158081054688
Epoch 33 | Loss (ELBO): 707.487060546875
Epoch 34 | Loss (ELBO): 707.2836303710938
Epoch 35 | Loss (ELBO): 707.2402954101562
Epoch 36 | Loss (ELBO): 706.951904296875
Epoch 37 | Loss (ELBO): 707.1318359375
Epoch 38 | Loss (ELBO): 706.5218505859375
Epoch 39 | Loss (ELBO): 706.9904174804688
Epoch 40 | Loss (ELBO): 706.8165283203125
Epoch 41 | Loss (ELBO): 707.07080078125
Epoch 42 | Loss (ELBO): 707.2444458007812
Epoch 43 | Loss (ELBO): 706.6384887695312
