Extracting ../../MNIST_dataset/train-images-idx3-ubyte.gz
Extracting ../../MNIST_dataset/train-labels-idx1-ubyte.gz
Extracting ../../MNIST_dataset/t10k-images-idx3-ubyte.gz
Extracting ../../MNIST_dataset/t10k-labels-idx1-ubyte.gz

non missing values percentage: 60.0 %
Initializing parameters

Epoch 1 | Loss (ELBO): 442.5967712402344
Epoch 2 | Loss (ELBO): 333.6294250488281
Epoch 3 | Loss (ELBO): 267.4942626953125
Epoch 4 | Loss (ELBO): 231.34902954101562
Epoch 5 | Loss (ELBO): 221.4542999267578
Epoch 6 | Loss (ELBO): 218.8756103515625
Epoch 7 | Loss (ELBO): 209.04287719726562
Epoch 8 | Loss (ELBO): 207.39939880371094
Epoch 9 | Loss (ELBO): 208.34368896484375
Epoch 10 | Loss (ELBO): 205.510009765625
Epoch 11 | Loss (ELBO): 208.25730895996094
Epoch 12 | Loss (ELBO): 210.2456817626953
Epoch 13 | Loss (ELBO): 206.98085021972656
Epoch 14 | Loss (ELBO): 205.39540100097656
Epoch 15 | Loss (ELBO): 207.2440948486328
Epoch 16 | Loss (ELBO): 207.77015686035156
Epoch 17 | Loss (ELBO): 209.8021240234375
Epoch 18 | Loss (ELBO): 206.899658203125
Epoch 19 | Loss (ELBO): 203.96533203125
Epoch 20 | Loss (ELBO): 207.33071899414062
Epoch 21 | Loss (ELBO): 209.85693359375
Epoch 22 | Loss (ELBO): 207.1102294921875
Epoch 23 | Loss (ELBO): 204.17347717285156
Epoch 24 | Loss (ELBO): 206.9317169189453
Epoch 25 | Loss (ELBO): 209.61680603027344
Epoch 26 | Loss (ELBO): 205.48390197753906
Epoch 27 | Loss (ELBO): 204.57167053222656
Epoch 28 | Loss (ELBO): 208.54714965820312
Epoch 29 | Loss (ELBO): 207.2587127685547
Epoch 30 | Loss (ELBO): 204.7393341064453
Epoch 31 | Loss (ELBO): 206.7209930419922
Epoch 32 | Loss (ELBO): 206.8784637451172
Epoch 33 | Loss (ELBO): 204.9025421142578
Epoch 34 | Loss (ELBO): 206.46925354003906
Epoch 35 | Loss (ELBO): 207.02566528320312
Epoch 36 | Loss (ELBO): 205.63381958007812
Epoch 37 | Loss (ELBO): 206.5087432861328
Epoch 38 | Loss (ELBO): 206.08306884765625
Epoch 39 | Loss (ELBO): 205.65872192382812
Epoch 40 | Loss (ELBO): 206.63832092285156
Epoch 41 | Loss (ELBO): 206.92369079589844
Epoch 42 | Loss (ELBO): 206.0438232421875
Epoch 43 | Loss (ELBO): 206.17877197265625
Epoch 44 | Loss (ELBO): 206.5086212158203
Epoch 45 | Loss (ELBO): 205.9140625
Epoch 46 | Loss (ELBO): 206.5108184814453
Epoch 47 | Loss (ELBO): 206.11399841308594
Epoch 48 | Loss (ELBO): 205.7467498779297
Epoch 49 | Loss (ELBO): 206.1619415283203
Epoch 50 | Loss (ELBO): 206.29629516601562
Epoch 51 | Loss (ELBO): 206.02098083496094
Epoch 52 | Loss (ELBO): 206.25772094726562
Epoch 53 | Loss (ELBO): 206.15988159179688
Epoch 54 | Loss (ELBO): 205.80068969726562
Epoch 55 | Loss (ELBO): 206.42613220214844
Epoch 56 | Loss (ELBO): 206.2686309814453
Epoch 57 | Loss (ELBO): 206.08827209472656
Epoch 58 | Loss (ELBO): 206.09898376464844
Epoch 59 | Loss (ELBO): 206.09568786621094
Epoch 60 | Loss (ELBO): 205.86410522460938
Epoch 61 | Loss (ELBO): 206.14833068847656
Epoch 62 | Loss (ELBO): 206.6614227294922
Epoch 63 | Loss (ELBO): 206.4667205810547
Epoch 64 | Loss (ELBO): 205.93626403808594
Epoch 65 | Loss (ELBO): 205.9401397705078
Epoch 66 | Loss (ELBO): 206.03941345214844
Epoch 67 | Loss (ELBO): 205.97775268554688
Epoch 68 | Loss (ELBO): 206.17091369628906
Epoch 69 | Loss (ELBO): 206.2032470703125
Epoch 70 | Loss (ELBO): 206.13174438476562
Epoch 71 | Loss (ELBO): 205.77159118652344
Epoch 72 | Loss (ELBO): 205.9683074951172
Epoch 73 | Loss (ELBO): 206.2145538330078
Epoch 74 | Loss (ELBO): 206.31134033203125
Epoch 75 | Loss (ELBO): 206.186279296875
Epoch 76 | Loss (ELBO): 205.73342895507812
Epoch 77 | Loss (ELBO): 206.2162322998047
Epoch 78 | Loss (ELBO): 206.08306884765625
Epoch 79 | Loss (ELBO): 206.22616577148438
Epoch 80 | Loss (ELBO): 205.86856079101562
Epoch 81 | Loss (ELBO): 205.96414184570312
Epoch 82 | Loss (ELBO): 206.13719177246094
Epoch 83 | Loss (ELBO): 206.00303649902344
Epoch 84 | Loss (ELBO): 206.15606689453125
Epoch 85 | Loss (ELBO): 206.23648071289062
Epoch 86 | Loss (ELBO): 205.83750915527344
Epoch 87 | Loss (ELBO): 206.08090209960938
Epoch 88 | Loss (ELBO): 206.14390563964844
Epoch 89 | Loss (ELBO): 206.04733276367188
Epoch 90 | Loss (ELBO): 206.35391235351562
Epoch 91 | Loss (ELBO): 205.67001342773438
Epoch 92 | Loss (ELBO): 206.3358612060547
Epoch 93 | Loss (ELBO): 206.05718994140625
Epoch 94 | Loss (ELBO): 206.04920959472656
Epoch 95 | Loss (ELBO): 206.02191162109375
Epoch 96 | Loss (ELBO): 206.0309600830078
Epoch 97 | Loss (ELBO): 206.07073974609375
Epoch 98 | Loss (ELBO): 205.5372314453125
Epoch 99 | Loss (ELBO): 206.13299560546875
Epoch 100 | Loss (ELBO): 205.96810913085938
Epoch 101 | Loss (ELBO): 206.14218139648438
Epoch 102 | Loss (ELBO): 206.2356719970703
Epoch 103 | Loss (ELBO): 205.86293029785156
Epoch 104 | Loss (ELBO): 205.88121032714844
Epoch 105 | Loss (ELBO): 206.4043731689453
Epoch 106 | Loss (ELBO): 205.89083862304688
Epoch 107 | Loss (ELBO): 205.88197326660156
Epoch 108 | Loss (ELBO): 205.9336700439453
Epoch 109 | Loss (ELBO): 206.09727478027344
Epoch 110 | Loss (ELBO): 206.06805419921875
Epoch 111 | Loss (ELBO): 206.06297302246094
Epoch 112 | Loss (ELBO): 206.05906677246094
Epoch 113 | Loss (ELBO): 205.9500274658203
Epoch 114 | Loss (ELBO): 206.20899963378906
Epoch 115 | Loss (ELBO): 206.30267333984375
Epoch 116 | Loss (ELBO): 206.164794921875
Epoch 117 | Loss (ELBO): 206.10670471191406
Epoch 118 | Loss (ELBO): 206.08355712890625
Epoch 119 | Loss (ELBO): 205.98370361328125
Epoch 120 | Loss (ELBO): 206.199462890625
Epoch 121 | Loss (ELBO): 206.32249450683594
Epoch 122 | Loss (ELBO): 205.98350524902344
Epoch 123 | Loss (ELBO): 205.95323181152344
Epoch 124 | Loss (ELBO): 206.16065979003906
Epoch 125 | Loss (ELBO): 206.0553741455078
Epoch 126 | Loss (ELBO): 206.15127563476562
Epoch 127 | Loss (ELBO): 206.0363006591797
Epoch 128 | Loss (ELBO): 206.15335083007812
Epoch 129 | Loss (ELBO): 206.13204956054688
Epoch 130 | Loss (ELBO): 206.13772583007812
Epoch 131 | Loss (ELBO): 205.86477661132812
Epoch 132 | Loss (ELBO): 206.12672424316406
