number of users: 943
number of movies: 1682

non missing values percentage: 6.304669364224531 %
Initializing parameters

Epoch 1 | Loss (ELBO): 1165.873291015625
Epoch 2 | Loss (ELBO): 1799.6962890625
Epoch 3 | Loss (ELBO): 1111.6912841796875
Epoch 4 | Loss (ELBO): 1068.4874267578125
Epoch 5 | Loss (ELBO): 962.13427734375
Epoch 6 | Loss (ELBO): 828.6987915039062
Epoch 7 | Loss (ELBO): 655.8809204101562
Epoch 8 | Loss (ELBO): 394.7371520996094
Epoch 9 | Loss (ELBO): 102.3664321899414
Epoch 10 | Loss (ELBO): -410.581298828125
Epoch 11 | Loss (ELBO): -924.6051635742188
Epoch 12 | Loss (ELBO): -1745.9681396484375
Epoch 13 | Loss (ELBO): -2279.403076171875
Epoch 14 | Loss (ELBO): -3510.283447265625
Epoch 15 | Loss (ELBO): -4906.5166015625
Epoch 16 | Loss (ELBO): -6648.16162109375
Epoch 17 | Loss (ELBO): -8688.130859375
Epoch 18 | Loss (ELBO): -11392.337890625
Epoch 19 | Loss (ELBO): -14791.689453125
Epoch 20 | Loss (ELBO): -18604.125
Epoch 21 | Loss (ELBO): -22275.6640625
Epoch 22 | Loss (ELBO): -27861.42578125
Epoch 23 | Loss (ELBO): -33263.5859375
Epoch 24 | Loss (ELBO): -42096.19921875
Epoch 25 | Loss (ELBO): -49290.68359375
Epoch 26 | Loss (ELBO): -58990.3984375
Epoch 27 | Loss (ELBO): -67618.7578125
Epoch 28 | Loss (ELBO): -81276.7421875
Epoch 29 | Loss (ELBO): -97138.0703125
Epoch 30 | Loss (ELBO): -110469.9609375
Epoch 31 | Loss (ELBO): -130387.3046875
Epoch 32 | Loss (ELBO): -146092.1875
Epoch 33 | Loss (ELBO): -166500.34375
Epoch 34 | Loss (ELBO): -188400.796875
Epoch 35 | Loss (ELBO): -214589.828125
Epoch 36 | Loss (ELBO): -250351.46875
Epoch 37 | Loss (ELBO): -278033.625
Epoch 38 | Loss (ELBO): -302571.09375
Epoch 39 | Loss (ELBO): -354100.28125
Epoch 40 | Loss (ELBO): -393153.6875
Epoch 41 | Loss (ELBO): -429601.3125
Epoch 42 | Loss (ELBO): -489320.5625
Epoch 43 | Loss (ELBO): -529473.25
Epoch 44 | Loss (ELBO): -601914.625
Epoch 45 | Loss (ELBO): -653054.375
Epoch 46 | Loss (ELBO): -723222.0625
Epoch 47 | Loss (ELBO): -802546.6875
Epoch 48 | Loss (ELBO): -869496.0
Epoch 49 | Loss (ELBO): -961338.4375
Epoch 50 | Loss (ELBO): -1037755.9375
Epoch 51 | Loss (ELBO): -1157041.5
Epoch 52 | Loss (ELBO): -1232742.5
Epoch 53 | Loss (ELBO): -1348624.0
Epoch 54 | Loss (ELBO): -1449938.625
Epoch 55 | Loss (ELBO): -1594831.375
Epoch 56 | Loss (ELBO): -1712675.25
Epoch 57 | Loss (ELBO): -1842068.125
Epoch 58 | Loss (ELBO): -1973872.75
Epoch 59 | Loss (ELBO): -2159735.0
Epoch 60 | Loss (ELBO): -2305873.5
Epoch 61 | Loss (ELBO): -2453873.75
Epoch 62 | Loss (ELBO): -2668622.25
Epoch 63 | Loss (ELBO): -2864182.0
Epoch 64 | Loss (ELBO): -3062364.5
Epoch 65 | Loss (ELBO): -3336053.5
Epoch 66 | Loss (ELBO): -3518730.0
Epoch 67 | Loss (ELBO): -3739361.25
Epoch 68 | Loss (ELBO): -3978929.0
Epoch 69 | Loss (ELBO): -4263253.0
Epoch 70 | Loss (ELBO): -4559194.5
Epoch 71 | Loss (ELBO): -4770843.0
Epoch 72 | Loss (ELBO): -5077178.0
Epoch 73 | Loss (ELBO): -5371765.5
Epoch 74 | Loss (ELBO): -5774357.5
Epoch 75 | Loss (ELBO): -6029488.5
Epoch 76 | Loss (ELBO): -6359907.0
Epoch 77 | Loss (ELBO): -6836873.5
Epoch 78 | Loss (ELBO): -7095493.0
Epoch 79 | Loss (ELBO): -7544899.0
Epoch 80 | Loss (ELBO): -7857734.5
Epoch 81 | Loss (ELBO): -8394115.0
Epoch 82 | Loss (ELBO): -8800167.0
Epoch 83 | Loss (ELBO): -9162431.0
Epoch 84 | Loss (ELBO): -9671098.0
Epoch 85 | Loss (ELBO): -10287988.0
Epoch 86 | Loss (ELBO): -10746771.0
Epoch 87 | Loss (ELBO): -11301171.0
Epoch 88 | Loss (ELBO): -11812001.0
Epoch 89 | Loss (ELBO): -12484603.0
Epoch 90 | Loss (ELBO): -13085347.0
Epoch 91 | Loss (ELBO): -13569863.0
Epoch 92 | Loss (ELBO): -14307842.0
Epoch 93 | Loss (ELBO): -14820070.0
Epoch 94 | Loss (ELBO): -15478109.0
Epoch 95 | Loss (ELBO): -16268630.0
Epoch 96 | Loss (ELBO): -16913324.0
Epoch 97 | Loss (ELBO): -17605782.0
Epoch 98 | Loss (ELBO): -18509978.0
Epoch 99 | Loss (ELBO): -19219530.0
Epoch 100 | Loss (ELBO): -19924636.0

root mean squared error: 0.952234378881
mean absolute error: 0.907583002909
