non missing values percentage: 60.0 %
Initializing parameters

Epoch 1 | Loss (ELBO): 543.4271240234375
Epoch 2 | Loss (ELBO): 519.4864501953125
Epoch 3 | Loss (ELBO): 479.57733154296875
Epoch 4 | Loss (ELBO): 424.021484375
Epoch 5 | Loss (ELBO): 326.23388671875
Epoch 6 | Loss (ELBO): 291.039794921875
Epoch 7 | Loss (ELBO): 226.48680114746094
Epoch 8 | Loss (ELBO): 200.98194885253906
Epoch 9 | Loss (ELBO): 186.17807006835938
Epoch 10 | Loss (ELBO): 181.56625366210938
Epoch 11 | Loss (ELBO): 177.3118896484375
Epoch 12 | Loss (ELBO): 174.8750457763672
Epoch 13 | Loss (ELBO): 174.2738494873047
Epoch 14 | Loss (ELBO): 173.04762268066406
Epoch 15 | Loss (ELBO): 173.9903564453125
Epoch 16 | Loss (ELBO): 173.76324462890625
Epoch 17 | Loss (ELBO): 173.26943969726562
Epoch 18 | Loss (ELBO): 175.15191650390625
Epoch 19 | Loss (ELBO): 173.4866485595703
Epoch 20 | Loss (ELBO): 171.21832275390625
Epoch 21 | Loss (ELBO): 173.9508056640625
Epoch 22 | Loss (ELBO): 170.61962890625
Epoch 23 | Loss (ELBO): 170.1778106689453
Epoch 24 | Loss (ELBO): 169.5370330810547
Epoch 25 | Loss (ELBO): 169.61837768554688
Epoch 26 | Loss (ELBO): 168.67552185058594
Epoch 27 | Loss (ELBO): 169.09288024902344
Epoch 28 | Loss (ELBO): 167.84361267089844
Epoch 29 | Loss (ELBO): 167.98214721679688
Epoch 30 | Loss (ELBO): 167.35850524902344
Epoch 31 | Loss (ELBO): 166.72052001953125
Epoch 32 | Loss (ELBO): 166.55618286132812
Epoch 33 | Loss (ELBO): 166.45346069335938
Epoch 34 | Loss (ELBO): 166.65664672851562
Epoch 35 | Loss (ELBO): 167.22190856933594
Epoch 36 | Loss (ELBO): 166.59664916992188
Epoch 37 | Loss (ELBO): 168.86569213867188
Epoch 38 | Loss (ELBO): 163.95465087890625
Epoch 39 | Loss (ELBO): 165.95663452148438
Epoch 40 | Loss (ELBO): 166.59011840820312
Epoch 41 | Loss (ELBO): 164.1483154296875
Epoch 42 | Loss (ELBO): 164.3911590576172
Epoch 43 | Loss (ELBO): 166.75131225585938
Epoch 44 | Loss (ELBO): 164.58370971679688
Epoch 45 | Loss (ELBO): 160.0244598388672
Epoch 46 | Loss (ELBO): 162.34129333496094
Epoch 47 | Loss (ELBO): 163.30174255371094
Epoch 48 | Loss (ELBO): 160.53050231933594
Epoch 49 | Loss (ELBO): 158.7723388671875
Epoch 50 | Loss (ELBO): 160.28993225097656
Epoch 51 | Loss (ELBO): 161.65591430664062
Epoch 52 | Loss (ELBO): 158.29306030273438
Epoch 53 | Loss (ELBO): 158.47850036621094
Epoch 54 | Loss (ELBO): 158.71104431152344
Epoch 55 | Loss (ELBO): 157.9990997314453
Epoch 56 | Loss (ELBO): 158.20472717285156
Epoch 57 | Loss (ELBO): 157.76547241210938
Epoch 58 | Loss (ELBO): 156.6024932861328
Epoch 59 | Loss (ELBO): 156.80979919433594
Epoch 60 | Loss (ELBO): 157.36904907226562
Epoch 61 | Loss (ELBO): 155.780029296875
Epoch 62 | Loss (ELBO): 153.74569702148438
Epoch 63 | Loss (ELBO): 155.51373291015625
Epoch 64 | Loss (ELBO): 156.018310546875
Epoch 65 | Loss (ELBO): 155.3114471435547
Epoch 66 | Loss (ELBO): 155.08827209472656
Epoch 67 | Loss (ELBO): 154.13113403320312
Epoch 68 | Loss (ELBO): 154.0494384765625
Epoch 69 | Loss (ELBO): 153.7121124267578
Epoch 70 | Loss (ELBO): 152.552978515625
Epoch 71 | Loss (ELBO): 152.42984008789062
Epoch 72 | Loss (ELBO): 152.6331329345703
Epoch 73 | Loss (ELBO): 152.3986358642578
Epoch 74 | Loss (ELBO): 150.63662719726562
Epoch 75 | Loss (ELBO): 151.41746520996094
Epoch 76 | Loss (ELBO): 153.00808715820312
Epoch 77 | Loss (ELBO): 150.5737762451172
Epoch 78 | Loss (ELBO): 149.4892120361328
Epoch 79 | Loss (ELBO): 151.25216674804688
Epoch 80 | Loss (ELBO): 150.64633178710938
Epoch 81 | Loss (ELBO): 147.75103759765625
Epoch 82 | Loss (ELBO): 148.8169403076172
Epoch 83 | Loss (ELBO): 149.91445922851562
Epoch 84 | Loss (ELBO): 148.24423217773438
Epoch 85 | Loss (ELBO): 147.65745544433594
Epoch 86 | Loss (ELBO): 147.9140625
Epoch 87 | Loss (ELBO): 148.14244079589844
Epoch 88 | Loss (ELBO): 145.6122283935547
Epoch 89 | Loss (ELBO): 146.39443969726562
Epoch 90 | Loss (ELBO): 146.16824340820312
Epoch 91 | Loss (ELBO): 146.52322387695312
Epoch 92 | Loss (ELBO): 145.10643005371094
Epoch 93 | Loss (ELBO): 142.94149780273438
Epoch 94 | Loss (ELBO): 145.5833740234375
Epoch 95 | Loss (ELBO): 144.58644104003906
Epoch 96 | Loss (ELBO): 142.6006622314453
Epoch 97 | Loss (ELBO): 143.56068420410156
Epoch 98 | Loss (ELBO): 143.2329559326172
Epoch 99 | Loss (ELBO): 143.98904418945312
Epoch 100 | Loss (ELBO): 141.98333740234375

root mean squared error: 0.176292017455
