non missing values percentage: 60.0 %
Initializing parameters

Epoch 1 | Loss (ELBO): 543.4271850585938
Epoch 2 | Loss (ELBO): 520.2130737304688
Epoch 3 | Loss (ELBO): 482.4046325683594
Epoch 4 | Loss (ELBO): 430.1194763183594
Epoch 5 | Loss (ELBO): 338.6586608886719
Epoch 6 | Loss (ELBO): 290.9654846191406
Epoch 7 | Loss (ELBO): 237.04348754882812
Epoch 8 | Loss (ELBO): 209.25962829589844
Epoch 9 | Loss (ELBO): 198.73988342285156
Epoch 10 | Loss (ELBO): 192.6437225341797
Epoch 11 | Loss (ELBO): 187.3525848388672
Epoch 12 | Loss (ELBO): 184.1178436279297
Epoch 13 | Loss (ELBO): 183.49240112304688
Epoch 14 | Loss (ELBO): 183.65330505371094
Epoch 15 | Loss (ELBO): 184.34677124023438
Epoch 16 | Loss (ELBO): 184.5146026611328
Epoch 17 | Loss (ELBO): 183.63430786132812
Epoch 18 | Loss (ELBO): 183.7779998779297
Epoch 19 | Loss (ELBO): 184.64703369140625
Epoch 20 | Loss (ELBO): 183.95481872558594
Epoch 21 | Loss (ELBO): 183.38356018066406
Epoch 22 | Loss (ELBO): 182.93893432617188
Epoch 23 | Loss (ELBO): 181.67892456054688
Epoch 24 | Loss (ELBO): 181.46832275390625
Epoch 25 | Loss (ELBO): 182.18748474121094
Epoch 26 | Loss (ELBO): 182.79519653320312
Epoch 27 | Loss (ELBO): 183.0698699951172
Epoch 28 | Loss (ELBO): 182.42295837402344
Epoch 29 | Loss (ELBO): 181.84173583984375
Epoch 30 | Loss (ELBO): 182.43484497070312
Epoch 31 | Loss (ELBO): 182.3225555419922
Epoch 32 | Loss (ELBO): 182.48324584960938
Epoch 33 | Loss (ELBO): 179.91061401367188
Epoch 34 | Loss (ELBO): 181.8673553466797
Epoch 35 | Loss (ELBO): 181.13710021972656
Epoch 36 | Loss (ELBO): 180.4486846923828
Epoch 37 | Loss (ELBO): 181.6116180419922
Epoch 38 | Loss (ELBO): 179.1129913330078
Epoch 39 | Loss (ELBO): 179.88909912109375
Epoch 40 | Loss (ELBO): 179.76332092285156
Epoch 41 | Loss (ELBO): 180.14906311035156
Epoch 42 | Loss (ELBO): 179.61541748046875
Epoch 43 | Loss (ELBO): 179.0406951904297
Epoch 44 | Loss (ELBO): 180.55184936523438
Epoch 45 | Loss (ELBO): 178.80389404296875
Epoch 46 | Loss (ELBO): 180.20211791992188
Epoch 47 | Loss (ELBO): 179.25485229492188
Epoch 48 | Loss (ELBO): 179.64183044433594
Epoch 49 | Loss (ELBO): 180.52108764648438
Epoch 50 | Loss (ELBO): 178.86526489257812
Epoch 51 | Loss (ELBO): 180.01043701171875
Epoch 52 | Loss (ELBO): 181.37596130371094
Epoch 53 | Loss (ELBO): 178.95245361328125
Epoch 54 | Loss (ELBO): 178.12086486816406
Epoch 55 | Loss (ELBO): 180.73805236816406
Epoch 56 | Loss (ELBO): 179.6533966064453
Epoch 57 | Loss (ELBO): 178.15025329589844
Epoch 58 | Loss (ELBO): 178.8508758544922
Epoch 59 | Loss (ELBO): 179.8590545654297
Epoch 60 | Loss (ELBO): 177.96133422851562
Epoch 61 | Loss (ELBO): 177.98724365234375
Epoch 62 | Loss (ELBO): 179.26507568359375
Epoch 63 | Loss (ELBO): 178.85293579101562
Epoch 64 | Loss (ELBO): 178.0662384033203
Epoch 65 | Loss (ELBO): 179.94720458984375
Epoch 66 | Loss (ELBO): 178.65744018554688
Epoch 67 | Loss (ELBO): 177.07510375976562
Epoch 68 | Loss (ELBO): 178.59619140625
Epoch 69 | Loss (ELBO): 176.73590087890625
Epoch 70 | Loss (ELBO): 176.00189208984375
Epoch 71 | Loss (ELBO): 178.2135772705078
Epoch 72 | Loss (ELBO): 176.5420684814453
Epoch 73 | Loss (ELBO): 174.84567260742188
Epoch 74 | Loss (ELBO): 177.1491241455078
Epoch 75 | Loss (ELBO): 174.5976104736328
Epoch 76 | Loss (ELBO): 173.58619689941406
Epoch 77 | Loss (ELBO): 175.78944396972656
Epoch 78 | Loss (ELBO): 174.55963134765625
Epoch 79 | Loss (ELBO): 174.81993103027344
Epoch 80 | Loss (ELBO): 174.792236328125
Epoch 81 | Loss (ELBO): 174.41793823242188
Epoch 82 | Loss (ELBO): 175.52597045898438
Epoch 83 | Loss (ELBO): 174.14602661132812
Epoch 84 | Loss (ELBO): 174.48524475097656
Epoch 85 | Loss (ELBO): 177.3516082763672
Epoch 86 | Loss (ELBO): 172.70628356933594
Epoch 87 | Loss (ELBO): 172.9343719482422
Epoch 88 | Loss (ELBO): 175.06019592285156
Epoch 89 | Loss (ELBO): 172.86927795410156
Epoch 90 | Loss (ELBO): 172.2960968017578
Epoch 91 | Loss (ELBO): 173.07315063476562
Epoch 92 | Loss (ELBO): 172.33399963378906
Epoch 93 | Loss (ELBO): 171.94229125976562
Epoch 94 | Loss (ELBO): 171.99893188476562
Epoch 95 | Loss (ELBO): 172.40406799316406
Epoch 96 | Loss (ELBO): 171.42807006835938
Epoch 97 | Loss (ELBO): 172.61032104492188
Epoch 98 | Loss (ELBO): 171.88406372070312
Epoch 99 | Loss (ELBO): 171.06146240234375
Epoch 100 | Loss (ELBO): 170.82948303222656

root mean squared error: 0.173414228552
